[1.17-2.19] 哈喽 大家好
[2.19-4.31] 长夜漫漫 无心睡眠
[4.31-5.81] 晚上给大家录上一期
[2753.44-2756.76] 笔下的这个上海市井弄堂里弄的那个
[2757.28-2759.32] 那个幸福的那种人伦之美
[2760.34-2761.12] 悦然
[2761.62-2762.14] 眼前
[2762.66-2768.28] 你看这个就是灵魂的层级大家要客观点不要那么装逼端着
[2768.54-2770.34] 灵魂是有层级的
[2770.58-2772.90] 人和人之间的差距之大
[2773.20-2773.96] 差别之大
[2774.48-2775.76] 超过狗和狗之间
[2776.26-2780.36] 只不过你看不见你看最高的人两米最低的人一米五
[2780.62-2781.90] 所以你就觉得
[2782.66-2783.44] 人
[2783.70-2787.02] 之间的最重的人200200多斤最轻的人
[2787.28-2788.56] 五六十斤七八十斤
[2788.82-2790.86] 大家会觉得人和人之间啊
[2791.12-2792.40] 差距没有那么大
[2792.90-2795.46] 不如狗和狗之间的差距比如大狗
[2795.98-2797.26] 高加索
[2797.52-2800.34] 德国黑贝这种大猩犬
[2801.62-2802.12] 有
[2802.38-2802.90] 有比人还要大
[2803.20-2803.70] 人还高
[2804.48-2806.52] 那你再看那个小金巴
[2806.78-2808.06] 小泰迪
[2808.32-2809.34] 跟猫那么大
[2809.60-2812.16] 体型上来说差10倍20倍
[2812.42-2814.72] 体重上差那么三五十倍都有可能
[2814.98-2816.26] 这是狗和狗之间的
[2816.50-2817.54] 外形上的差异
[2817.78-2820.10] 但是狗和狗之间的灵魂上几乎没有差异
[2820.60-2823.16] 就是高加索犬和泰迪很快能混到一起
[2823.42-2825.72] 因为他们的灵魂之间真的没有太大的差距
[2826.24-2828.28] 但人和人之间正好相反
[2828.54-2831.62] 人和人之间的外形差距没有狗和狗之间那么大
[2831.86-2832.90] 但人和人之间
[2833.20-2834.22] 灵魂的差距
[2835.76-2838.82] 远远超过狗和狗之间的体型的差距
[2840.10-2840.88] 所以呢
[2841.14-2844.20] 你不要以为你看到眼里的人都是一样的
[2844.98-2846.00] 就是不平等的
[2846.26-2848.30] 就是有高下优劣之分的
[2848.82-2849.84] 就是有品种了
[2850.10-2855.22] 如果是中国的话如果能修行投胎五代做上海人
[2855.72-2858.54] 这是中国人灵魂里面最高级的灵魂
[2859.56-2860.58] 最高级灵魂所以
[2860.84-2862.64] 我谈到上海人
[2862.90-2864.18] 理论之间亲情的时候
[2864.44-2866.48] 我一点都没有居高临下的感觉
[2866.74-2869.30] 我相反会非常羡慕他们那种状态
[2869.56-2871.08] 如果上海自由式还在
[2871.34-2872.62] 如果共产党没有来
[2873.64-2875.70] 他们是多么幸福的一群灵魂啊
[2875.96-2876.46] 在那个地方
[2876.98-2879.28] 享受人生简直就是瑞士嘛
[2879.80-2881.58] 简直就是苏黎世的这种
[2882.10-2883.38] 传家的五代的
[2883.64-2885.16] 老苏黎世人的幸福度
[2885.68-2886.20] 所以
[2887.22-2891.06] 但是因为供应也没办法上海沦落了
[2891.32-2891.82] 但
[2891.82-2895.40] 瘦死的骆驼他们也比狗大比马大呀所以
[2896.42-2898.74] 上海跟那个山西小城完全不一样
[2899.24-2901.30] 山西小城你该断就断因为什么
[2901.80-2903.08] 完全没有办法交流
[2903.34-2906.16] 不是文明人不是普世价值社会
[2906.42-2907.44] 但上海不一样
[2907.94-2908.72] 上海呢
[2908.98-2910.50] 你跟你德国老公
[2910.76-2915.12] 如果能回去过那真的是非常幸福的又都是亲属
[2915.38-2918.70] 你们又是丁克家庭我看你们也没孩子嘛所以你们回上海生活
[2918.96-2921.26] 真的是非常好的选择你看那个叫
[2921.26-2923.30] 胖阿福的那个上海youtuber
[2923.56-2924.08] 那个
[2924.34-2924.84] 网红
[2925.10-2928.42] 就是倒插门的德国女婿嘛那个幸福的一塌糊涂嘛
[2930.67-2931.17] 所以
[2931.69-2932.45] 我的意思是
[2932.71-2935.01] 总有你舍不下的家人没错我能理解啊
[2936.05-2942.19] 财力雄厚如王总你虽然带领全家到家国定居但你能把你的家人的家人都带走吗那当然
[2942.45-2942.95] 不可能了
[2943.21-2943.47] 不可能
[2943.73-2946.03] 你是怎么处理这份牵挂的
[2946.29-2948.07] 难道真是商人众里情离别
[2948.33-2949.35] 你能不能说好
[2950.63-2952.69] 我是怎么处理这份牵挂的
[2952.99-2953.49] 我跟你讲
[2953.75-2959.89] 我们家的老人没有上海人那种牵挂因为上海啊那那是真的是修道好福气了
[2960.15-2963.23] 如果我们家的老人是上海人他们也不会出来的
[2963.49-2965.01] 但是他们也属于那种
[2965.27-2966.29] 小城市
[2966.55-2969.11] 慢慢的熬上来到了北京的那种
[2969.37-2970.39] 就是等于是
[2970.65-2972.19] 也是一次阶级跃升的人
[2972.45-2974.23] 所以他们很清楚国外的好
[2975.25-2976.03] 他们中
[2976.29-2979.61] 大部分是愿意跟我们来的那愿意跟我们来的当然更好了
[2979.87-2982.69] 也有不愿意跟我们来愿意往后出溜往下
[2982.99-2985.55] 我是怎么处理啊那当然
[2985.81-2986.83] 你可以借鉴
[2987.33-2989.13] 他既然想往下出溜
[2989.65-2993.99] 往武则恶势里出溜那你很很简单对我来说就是一个前字
[2994.51-2997.07] 就是富在深山有远亲呢
[2998.61-3000.65] 穷在闹市无人食
[3000.91-3002.19] 这就是现实
[3002.45-3003.21] 这就是人性
[3004.49-3006.79] 所以你们想想我的直系亲属
[3007.05-3009.09] 如果不愿意来加拿大跟随我呢
[3009.61-3012.43] 你能想象一下他们在中国现在的人生环境
[3012.99-3013.49] 环境吗
[3014.01-3016.57] 有社区来送温暖
[3017.09-3021.69] 所有的没见过的见过的朋友都来送温暖亲属都来
[3021.95-3024.25] 没事就大包小馆提着来看
[3024.51-3025.01] 为什么
[3026.55-3027.33] 就这句话了
[3027.83-3029.37] 刚才我已经念了那句诗了
[3030.39-3034.23] 但是对于老人来说他们的错觉就是我好有魅力
[3034.49-3035.77] 我好成功啊
[3036.03-3039.87] 其实你成功是因为胡家虎威后面有个老虎儿子
[3040.13-3042.43] 但是我的案例
[3042.73-3043.25] 我经验
[3043.49-3045.29] 你不你无法克补
[3045.55-3048.11] 克隆所以不是伤人重力清离别
[3048.37-3051.95] 所以我跟不愿意来的人讲得很清楚就是你们没了
[3052.45-3053.73] 骨灰盒我给你捧过来
[3054.77-3055.53] 骨灰过来
[3055.79-3057.33] 我一定安葬在这边
[3057.57-3059.37] 加拿大我这边的族墓里面
[3060.13-3061.67] 不会让你们无人扫地
[3062.45-3065.25] 但是如果你们活着的时候阳寿未尽的时候
[3065.51-3068.59] 你们认为在那儿享受这种万人来朝拜的感觉
[3068.85-3071.65] 更加幸福那你在那儿待着我尊重你的选择
[3071.91-3072.69] 我绝不强求
[3072.99-3073.49] 强迫你们过来
[3073.75-3077.85] 因为我绝不说加拿大各种好你必须过来跟我一块儿享福
[3078.37-3079.89] 我说好你就必须跟着说好
[3080.15-3082.71] 你不能不说加拿大不好不不不我们不要做
[3083.23-3084.25] 精神分裂的人
[3084.77-3086.55] 人家认为中国新好
[3086.81-3088.09] 中国更好
[3088.35-3090.13] 不要让人家分裂让人家赶紧回去
[3090.65-3092.19] 明白吗回去不要骂回去
[3092.45-3094.23] 买头等舱机票送走
[3095.01-3097.57] 别在这看加拿大各种不顺眼
[3097.81-3101.41] 相反我的亲戚我的长辈里面有特别喜欢加拿大
[3101.65-3102.69] 提起加拿大医疗
[3102.99-3104.53] 提起加拿大的教育赞不绝口的
[3105.81-3107.59] 你给他买机票他都说
[3107.85-3108.87] 我们家老人真这样
[3109.39-3111.95] 我最近身体不舒服不想回去了
[3112.21-3115.01] 赖着不走行行行
[3115.27-3117.57] 好好拿分页卡拿分页卡
[3117.83-3118.85] 换蓝牌护照
[3119.11-3119.63] 就是
[3120.13-3121.93] 为什么这就是还是那句话就是
[3123.21-3126.53] 我们中国人最大的问题什么没有家庭的概念
[3126.79-3131.65] 你这个家族非常幸福虽然是上海的但你们家族也是没有家庭的概念
[3131.91-3133.19] 这个家庭的概念
[3133.45-3135.49] 就是Family中间是有界限的
[3135.75-3138.31] 什么人是你家庭的分子一员
[3138.57-3140.61] 什么人他到什么年龄他应该出去
[3140.87-3144.71] 这个东西你不能混在一起大家一起乱着过你知道吧
[3144.97-3146.25] 否则的话就会打起来
[3146.49-3150.09] 所以家庭的这个成员之间啊尤其是子女
[3150.33-3151.87] 到了18岁20岁他必须走
[3152.13-3153.93] 他就不是我们这个家庭的成员
[3154.17-3155.71] 他变成了家族的成员
[3155.97-3158.79] 未成年子女和父母他是一个家庭的
[3159.55-3161.35] 然后你作为18岁以上的
[3161.35-3162.11] 20岁以上的
[3162.37-3164.93] 你已经不是那个家庭父母家庭的成员了
[3165.19-3166.73] 你是这个家族的成员
[3166.99-3171.07] 家族之间不要要求必须在一个房子里面住
[3171.33-3174.41] 甚至是最好不要在一个房子里面住
[3174.67-3177.23] 一个我们英语叫The Welling
[3177.47-3178.75] 一个house里面不要住
[3179.53-3182.85] 一个家族最好是住一个家庭就是父母
[3183.63-3184.65] 和未成年子女
[3185.15-3186.69] 在一个建筑物里面住
[3186.95-3190.03] 当然前提是你的经济条件允许
[3190.27-3191.31] 如果要是说
[3191.61-3193.65] 要一个家族混在一起我操
[3193.91-3196.21] 我先说各种矛盾全会出来了
[3196.47-3198.77] 任神也解决不了
[3199.03-3200.05] 难念的经啊
[3201.33-3202.11] 所以呢
[3202.61-3204.67] 我就是这么处理了就是
[3205.17-3207.73] 鸭走鸭路鸡走鸡徒
[3207.99-3209.01] 不要鸡吞鸭讲
[3209.27-3213.37] 不要小鸡为了让小鸭子过得幸福就给小鸭子送玉米粒去
[3213.63-3215.93] 小鸭子为了体贴小鸡就给小鸡
[3216.69-3221.05] 送小鱼竿我操他吃不惯我操他会闹肚子的
[3221.61-3222.37] 所以这个
[3222.89-3226.99] 我也对我自己如此自私缺乏远见作为
[3227.23-3231.59] 作为独生女没有为父母未来养老做充分准备而羞愧
[3231.85-3233.63] 哎呀这个姑娘你看看
[3234.91-3236.19] 你就是我刚才
[3236.45-3237.47] 说的那个
[3237.73-3241.57] 刚才那个德州的那个女士同样的问题
[3241.83-3243.63] 你们两位姑娘都是同样的问题
[3244.13-3246.43] 你父母不需要你准备什么
[3247.21-3248.75] 你父母是上海人
[3248.99-3249.51] 对不对
[3249.51-3254.63] 你的父母肯定在上海当时都年轻的时候都有很好的工作
[3254.89-3257.95] 现在都有上海级别的养老金北京
[3258.21-3262.57] 上海离休干部退休干部的养老金多多呀那多高啊
[3262.83-3265.13] 说句不好听的比绝大部分中国工薪
[3265.39-3268.19] 在职的年轻人挣的都多呀
[3268.45-3271.01] 而且什么全他妈免费医疗啊
[3271.27-3271.79] 所以
[3272.03-3275.37] 你进什么校呀你不搞错呀你这是你
[3275.63-3278.69] 你生活在哪一个世纪你他妈生活在12世纪
[3278.95-3279.47] 还是21世纪
[3279.77-3281.81] 必须斩断你们脑子里那些
[3282.07-3284.11] 封建迷信那什么24校
[3284.37-3286.17] 他们不再是
[3286.43-3288.73] 离了你们活不下去的儿童了
[3288.99-3290.27] 他们是成年人
[3290.77-3295.13] 他们有自己的人生你们不要把你们两个家庭混在一起
[3295.63-3298.45] 不要搞不清楚家庭和家族之间的概念
[3298.97-3302.55] 明白吧你跟你老公飞过去看看他们一年30
[3302.81-3304.59] 天的代薪假去看15天
[3304.85-3309.21] 就足够了他们还可以去看你们吗再去15天
[3309.51-3311.81] 这不是一年12个月见一个月还不行吗
[3312.07-3312.59] 两个月
[3312.83-3313.35] 还不行吗
[3314.63-3317.19] 我和先生是丁克所以在德国没牵挂
[3317.45-3322.57] 我甚至想在铁幕降下前逆流回国和家人一起熬苦日子聊此余生
[3322.83-3325.39] 因为有家人的地方才是家你看你又搞错了
[3325.63-3327.43] 你回去在铁幕下
[3327.69-3330.25] 没事但是你让
[3330.51-3333.57] 你老公留在德国为什么他得给你寄吃的
[3333.83-3336.39] 寄马克不是寄马克寄欧元
[3336.91-3338.69] 要不然的话到时候你
[3338.69-3340.49] 你都没吃的我这边有
[3340.73-3341.25] 德国佬
[3341.77-3343.05] 白的德国佬
[3344.07-3346.11] 美国人家大人他们以前是德国裔的
[3346.63-3349.69] 他们就讲就是东德铁幕落下的时候幸亏有
[3350.21-3350.97] 西德的亲戚
[3352.01-3353.53] 过一段时间就可以开车
[3354.05-3357.89] 过了玻璃枪检察站去看他们每次西德的亲戚来
[3358.15-3360.97] 大包小裹子带着巧克力真的是过年呀
[3361.21-3364.81] 东德吃不好不至于要饿但是确实
[3365.05-3366.33] 好吃的都没有了
[3367.37-3368.39] 跟我们讲当时的
[3368.69-3369.21] 这个场景
[3369.45-3369.97] 所以
[3370.23-3373.55] 铁幕一落下你上海人也就配几了你上海牛逼什么呀
[3373.81-3377.39] 最多就是不白饿但是你想像现在这样吃香的喝辣的
[3377.65-3378.93] 不可能所以
[3379.19-3382.01] 你就别回去了你如果父母像
[3382.25-3384.31] 你的父母如果像我这样
[3385.07-3386.61] 正常的普世价值
[3387.13-3388.15] 我们不会
[3388.65-3389.93] 不会让你回来
[3390.45-3391.99] 就是如果有朝一日
[3392.75-3393.53] 我老王
[3394.55-3396.33] 要面对这样的铁幕降下来
[3397.11-3397.87] 船要沉
[3398.69-3400.23] 我在这个沉船上跑不了了
[3400.99-3403.55] 我的正常反应是把我的子女扔出去
[3404.07-3406.63] 绑上救生圈扔出去越远越好
[3406.89-3408.67] 游的越远越好去开枝散叶
[3408.93-3411.49] 永远不要回到沉船上跟我一起下沉
[3412.51-3415.33] 所以你作为一个子女来说你对父母这么好
[3415.59-3418.41] 我作为一个为人父母者我觉得好欣慰
[3418.65-3419.93] 但是我也觉得好心疼
[3420.19-3422.75] 如果你是我的女儿你要说出这种话来我会抽你
[3423.53-3425.05] 我就说铁幕降下来了
[3425.57-3427.11] 囡囡快跑远一点
[3428.69-3429.45] 保护好自己
[3429.71-3430.73] 奶奶爸爸已经
[3432.01-3434.07] 以后保护不了你了就靠你自己了
[3435.09-3436.11] 怎么可能说
[3436.37-3438.17] 快和我一起死
[3438.41-3439.45] 这怎么可能啊所以
[3440.47-3441.75] 破除迷思啊
[3442.01-3442.51] 小男
[3444.05-3447.13] 是否有破这个局的两全性没有适得世间
[3447.37-3448.65] 安德双全法呀
[3449.17-3452.49] 我结婚后多次向先生提出一起移民到加拿大
[3452.75-3457.61] 因为我俩对全德国的穆斯利话倍感焦虑也因此可以
[3457.87-3458.65] 也应该
[3458.95-3460.73] 可以带父母但是他77年生人
[3460.99-3461.77] 不想再折腾
[3462.01-3466.63] 你全家移民到加拿大也解决不了这个问题
[3467.13-3470.21] 加拿大跟德国与上海的距离
[3470.47-3471.75] 不相伯仲所以
[3472.01-3473.29] 可能不是想
[3473.53-3474.57] 想象的那么简单的
[3475.59-3478.15] 而且等你们移民折腾到了加拿大
[3478.41-3480.19] 加拿大父母移民要排期的
[3480.45-3482.25] 等你们排完期你父母
[3482.49-3483.27] 哎呀还
[3483.53-3485.83] 能不能从生理条件上支撑
[3486.33-3488.39] 过来加拿大这都是一个打问号了
[3488.69-3489.45] 你别折腾了
[3489.71-3490.49] 德国多好
[3490.99-3492.79] 全德国穆斯林话
[3493.05-3494.33] 这也是德国的国运
[3494.57-3497.39] 焦虑作为普通老百姓焦虑有什么用呢
[3497.91-3502.77] 德国的国运不会因为穆斯林话而在你们这一代上就
[3503.29-3504.81] 险到最后一环
[3505.07-3506.09] 这你放心吧
[3506.35-3508.15] 基督教世界有它的自我洁净的
[3508.41-3508.91] 方式
[3509.43-3510.97] 你
[3511.99-3513.53] 一年有30天的
[3513.77-3514.55] 待薪假
[3514.81-3518.65] 工作那么好全部保险都有你折腾什么呀你在德国
[3518.95-3519.97] 你往加拿大折腾什么
[3520.23-3523.05] 所以你先生是对的你先生不想折腾你别跟着折腾了
[3523.81-3528.17] 作为我们上海普通家庭有没有可能保持和国外通信通航
[3528.41-3531.23] 阳奉阴违的在夹缝中生存有可能有可能
[3531.49-3534.31] 因为60年代70年代只要你们还有国外亲戚
[3534.57-3536.09] 那时候都可以通信
[3536.61-3538.15] 通航可能也有可能
[3538.41-3539.69] 那但是因为那时候
[3539.93-3541.21] 很穷嘛所以从
[3541.47-3542.49] 外国飞过来可以
[3542.75-3544.55] 从中国飞出去
[3544.81-3546.09] 不太现实
[3547.37-3548.65] 我该不该把父母在上海
[3548.95-3552.01] 还仅有的一些现金换成欧元带到德国来存上比较保险
[3552.53-3553.55] 可以呀
[3553.81-3556.11] 可以呀但是欧元保险吗我觉得
[3556.63-3559.69] 你要想保险你还是换成美元比较保险吧
[3559.95-3564.31] 我很难说欧元保险还是人民币保险啊这个
[3564.57-3566.09] 欧盟的解体可能
[3566.35-3568.41] 会在中国解体之前发生
[3569.43-3572.49] 我绝对不可能让父母卖掉上海的房子没错
[3573.01-3577.61] 这是他们安全感的由来当然老年人老人家你就不能把他房子卖掉了
[3577.87-3578.13] 如果
[3578.95-3580.23] 有两套房子你可以卖掉一套
[3580.49-3582.01] 但如果人家只有一套房子
[3582.27-3582.79] 不能不能
[3583.05-3584.33] 想都不要想
[3585.85-3588.17] 好了那以下这段不要念出来
[3588.41-3590.73] 怕你骂我父母女妹
[3590.97-3593.29] 我父母目前还在用他们的退休金
[3593.53-3594.31] 替我
[3594.57-3599.93] 缴纳上海的社保再缴两三年我55岁之后还可以领一份上海的退休工资
[3600.19-3601.47] 可怜天下父母亲
[3602.75-3605.83] 可怜天下父母亲他们是想给我留条后路
[3606.09-3607.87] 怕万一我在国外情况有变时
[3607.87-3608.89] 退回国内
[3609.15-3610.17] 也有个归宿
[3610.43-3612.73] 哎呀你看看你父母多好啊
[3612.99-3616.83] 哎呀真的是上海这个社会真的是人类文明
[3617.09-3617.59] 中国
[3617.85-3619.91] 东北亚中国这块文明的
[3620.15-3620.67] 高地
[3620.93-3621.95] 上海自由市真
[3622.47-3623.23] 太高地了
[3623.75-3626.81] 我有的时候喜欢看一些护语电视剧虽然我不看
[3627.07-3630.15] 字幕一个字也听不懂但是我还是沉浸其中
[3630.65-3635.27] 最近在看古风繁花呀因为有人让我看看评评我正在看
[3635.77-3637.05] 繁华
[3637.31-3637.83] 不像上海
[3638.13-3638.63] 像香港
[3638.89-3640.43] 是王家卫拍的
[3640.69-3642.47] 他妈的一股花样年华味
[3642.99-3645.55] 但是古风啊什么的那就是确实
[3646.31-3647.59] 弄堂文化理弄文化
[3647.85-3648.63] 演得真好
[3648.87-3649.65] 好了
[3649.91-3651.19] 羡慕你们上海的日子
[3651.43-3652.71] 上海不会最难的
[3652.97-3655.79] 即使铁幕拉下上海依然是最温馨
[3656.05-3657.83] 最水平高的那个地方
[3659.37-3663.73] 今天晚上先聊到这一个小时了明天我把它按时的传上去
[3664.23-3666.29] 跟大家共同探讨
[3666.55-3667.31] 孝道
[3667.87-3668.89] 这个孝之枷锁
[3669.41-3670.69] 破除这个孝之枷锁
[3670.95-3671.45] 找到
[3671.97-3673.25] 解开枷锁的钥匙
[3674.01-3674.53] 再见
[3675.03-3679.65] 关注订阅小铃铛突破黑暗势力对我的限流封锁他们又封锁我了
[3679.91-3683.99] 因为我一到这个整万之前就开始出现这种情况
[3684.25-3685.03] 拜拜拜拜
