[0.59-2.35] 哈喽 大家好
[2.35-6.83] 接着今天白天没进行完的话题
[2405.55-2407.99] 他能用英语把中国人给催眠了
[2408.43-2410.03] 就说你是一只鸡
[2410.03-2410.79] 我操
[2411.51-2412.67] 他用英语说的
[2412.67-2413.35] 你是那只鸡
[2413.39-2419.43] 然后听众就就完全就像一只鸡一样
[2419.43-2420.75] 在地下啄食吃
[2420.75-2421.71] 或者你是个棍
[2421.71-2422.03] 我操
[2422.03-2423.11] 他就硬了
[2423.11-2425.27] 然后脑袋底下放一个椅子背
[2425.27-2426.95] 脚尖上放一个椅子背
[2426.95-2428.63] 人就像他妈一根棍一样
[2428.63-2430.19] 单在这两个椅子之间
[2430.19-2431.03] 还是个弱女子
[2431.03-2432.27] 上面可以坐一个人
[2432.27-2434.55] 这催眠催眠术真的是好厉害
[2434.55-2437.03] 直接给你底层代码调出来
[2437.03-2438.59] 就把你显意识
[2438.59-2441.35] 你所有的灵魂那部分东西
[2441.35-2442.39] 全部都给你删掉
[2442.39-2443.31] 直接勾起
[2443.31-2446.15] 你的底层元代码
[2446.15-2446.55] 我操
[2446.55-2448.35] 直接给你改你的黑客
[2448.35-2449.31] 你的底层元代码
[2449.31-2450.03] 就是催眠术
[2450.39-2451.83] 太他妈神奇了
[2451.83-2454.23] 佛学气功古文明都都有所涉猎
[2454.23-2456.67] 您的大部分观点也是高无见领
[2456.75-2458.95] 但我觉得在通灵方面的内容
[2458.95-2460.11] 可能稍作改进
[2460.11-2460.99] 具体说一下
[2460.99-2462.39] 我在这方面经历
[2462.39-2465.63] 我经历过多次长于20天的避骨
[2465.79-2466.79] 您真比我厉害
[2466.79-2467.99] 我没那个毅力
[2468.55-2470.79] 在随后的学习气功的过程中
[2470.79-2472.83] 突然有了不可思议的体验
[2472.83-2473.71] 作为理科生
[2473.71-2475.75] 到处寻找理论依据
[2475.75-2477.79] 在《冷言经》中找到解释后
[2477.79-2478.83] 开始修佛
[2478.83-2480.11] 为了持大悲咒
[2480.11-2484.35] 特意学习了古印度西坛文法印
[2484.35-2486.07] 进境不错
[2486.07-2487.59] 大小周天打通
[2487.67-2491.07] 但在学习通中脉
[2491.19-2493.07] 但在学习通中脉
[2493.07-2495.67] 进入通灵境界的途中
[2495.67-2496.99] 大量阅读后
[2496.99-2498.55] 强忍好奇心放弃了
[2498.55-2499.43] 和您一样
[2499.43-2501.23] 我认为在自己修为不够时
[2501.23-2502.55] 贸然通灵有害
[2502.55-2503.19] 无益
[2503.19-2505.03] 我相信您和绝大部分
[2505.03-2506.99] 能长期跟随您的订阅者
[2507.95-2509.43] 死后的灵体
[2509.43-2511.67] 并不会比现在马上
[2511.67-2513.55] 就能连接到的灵体级别低
[2514.07-2515.27] 我太喜欢你了
[2515.27-2516.11] 你说话说的
[2516.11-2517.27] 简直真的是
[2517.27-2519.79] 清华培养出来的理用难
[2520.19-2522.15] 咱们就是太他们一致了
[2522.15-2523.63] 就是根本不计生死
[2523.63-2524.79] 就是死亡
[2524.79-2527.07] 只不过就是人生都必然一战
[2527.19-2528.75] 就像你第一次移精
[2528.91-2529.83] 第一次月经
[2529.83-2530.91] 第一次性生活
[2530.91-2532.23] 第一次当爸爸
[2532.55-2534.63] 一样
[2535.63-2538.11] 你第一次死亡
[2539.67-2540.55] 必然经历的
[2540.55-2542.07] 那有什么忌讳的呢
[2542.07-2542.43] 所以
[2542.43-2544.35] 而且我们在生存的过程中
[2544.35-2546.31] 不停的修持自己的灵魂
[2546.31-2549.31] 我们死了之后的灵体的力量
[2549.31-2552.95] 一定比我们现在能通胀的黄鼠狼子强
[2553.03-2553.71] 对不对
[2554.71-2556.23] 至少会高于
[2556.23-2558.23] 抄诵地藏经时遇到的灵体
[2558.79-2560.19] 你又说到我心坎里了
[2560.19-2562.23] 我那时候在北京抄地藏经
[2562.55-2564.63] 我家的楼道里边
[2564.63-2566.23] 二楼的楼道是没有门
[2566.23-2566.91] 没有窗户的
[2566.91-2568.15] 我抄着抄地藏经
[2568.15-2569.67] 后边就有风过来
[2569.67-2571.23] 就这样风
[2571.23-2572.07] 就这样风
[2572.07-2573.99] 我能感觉到空气流动
[2574.63-2576.75] 因为蜡烛和香也在动
[2577.27-2580.75] 所以我知道地藏经是真的是有感应能力的
[2580.75-2585.51] 所以高于我们抄地藏经时
[2585.51-2587.43] 吸引来的灵体
[2587.43-2589.03] 修为不够接触灵体
[2589.03-2589.67] 弊大于利
[2589.67-2590.71] 你说的太对了
[2590.71-2592.51] 对身体和心灵
[2592.55-2595.35] 都有可能不好的影响
[2596.23-2598.55] 所以建议您在今后的内容中
[2598.55-2600.39] 一定说一下通灵的坏处
[2600.39-2602.11] 不要让粉丝们出于好奇
[2602.11-2603.99] 去茫然尝试
[2603.99-2605.15] 您身体力行的
[2605.15-2605.79] 但行好事
[2605.79-2606.67] 莫问前程
[2606.67-2608.55] 不茫然通灵才是最好的做法
[2608.55-2608.79] 哎呀
[2608.79-2609.67] 是提醒的好
[2609.67-2610.31] 老张
[2610.99-2613.03] 今天在这个视频里
[2613.03-2613.99] 真正有用的
[2613.99-2615.99] 可能就是如下这两三分钟的话
[2615.99-2617.27] 咱们所有的贴粉里
[2617.27-2618.55] 通灵特别简单
[2618.55-2620.71] 没有什么特别复杂的过程中
[2620.71-2621.59] 当你
[2621.59-2624.91] 把自己的意念压下来的时候
[2624.91-2627.39] 把自己脑海里的念头压下来的时候
[2627.39-2629.79] 当你静静的坐着
[2629.79-2632.95] 开始按照一些方法
[2632.95-2634.55] 运行大小周天的时候
[2634.55-2636.51] 通灵的可能性就会开始
[2636.51-2637.51] 这过程就会开始
[2637.51-2638.71] 人人都有这个本能
[2638.71-2640.11] 但是一定要小心
[2640.11-2641.15] 一定要小心
[2641.15-2642.31] 不要茫然通灵
[2642.31-2642.71] 为什么
[2642.71-2643.71] 因为灵界
[2643.71-2645.91] 我们科学的讲
[2645.91-2647.35] 讲全学
[2647.35-2648.15] 大家老骂我
[2648.15-2650.27] 科学讲精神方面
[2650.63-2651.59] 他也有
[2651.59-2652.11] 疾病
[2652.11-2654.51] 你看我们大家特别好理解的
[2654.51-2655.87] 就是肉体方面的疾病
[2655.87-2657.47] 比如说某个人的眼睛瞎了
[2657.47-2659.35] 或者某个人的腿瘸了
[2659.35-2660.71] 你一眼就看出来了
[2660.71-2662.59] 这个家伙的腿
[2662.59-2663.31] 不能不好使
[2663.31-2663.95] 没腿了
[2663.95-2665.59] 两只腿都被地雷炸掉了
[2665.59-2666.71] 肉体方面残疾
[2666.71-2668.11] 你一眼就能看出来
[2668.11-2670.19] 但是精神方面的残疾
[2670.19-2671.51] 精神方面的病症
[2671.51-2673.27] 大家眼肉眼看不出来
[2674.27-2675.91] 经常会被忽略
[2675.91-2678.71] 其实精神方面的传染病之多
[2678.71-2679.99] 病原体之多
[2679.99-2681.55] 就像物质方面的病原体之多
[2681.59-2684.11] 病原体和传染病一样的种类繁多
[2684.11-2684.91] 你物质方面
[2684.91-2688.11] 你能看见肺炎
[2688.39-2689.07] 非典肺炎
[2689.07-2690.91] 这个小病原体
[2691.07-2693.35] 什么一元体肺炎的小病原体
[2693.67-2695.11] 你都能显微镜上看到它
[2695.11-2696.67] 所以你知道要戴上口罩
[2696.99-2698.39] 你知道要保护好自己
[2698.39-2699.35] 勤洗手
[2699.79-2701.11] 一旦沾染上自己
[2701.11-2702.55] 自己的免疫力如果不够的话
[2702.55-2703.67] 就会被感染
[2703.67-2704.51] 只是肉体
[2704.51-2705.99] 精神上也是一样的
[2705.99-2707.31] 当我们的精神力不够强
[2707.31-2708.35] 防火墙不够强
[2708.35-2711.03] 自我意识没有那么通透的时候
[2711.03-2713.79] 这些灵界的这些小寄生体
[2713.79-2715.11] 各种邪灵歪道
[2715.11-2716.59] 很容易就寄生上你
[2716.59-2718.51] 寄生上你都不知道
[2718.55-2719.99] 你以为是抑郁症
[2720.27-2722.31] 或者你以为是自己心情不好
[2722.31-2724.03] 其实是他妈你病了
[2724.23-2725.15] 你被感染了
[2725.15-2726.35] 你得了传染病
[2726.35-2728.43] 你得了非典肺炎
[2728.43-2729.51] 是一模一样的
[2729.51-2730.59] 只不过你这个肺炎
[2730.59-2732.55] 发生在你的精神意识世界里
[2732.55-2733.71] 你不知道的
[2733.71-2734.95] 你以为还挺好
[2734.95-2736.51] 我还有能力了
[2736.51-2739.71] 我怎么现在我还能掐事了
[2739.71-2740.99] 实际上你被感染了
[2741.03-2743.07] 你被寄生了
[2743.07-2745.07] 你被夺舍了
[2745.07-2746.27] 我操你得小心点
[2746.27-2750.47] 所以大家没有上师师父指引
[2750.47-2753.23] 没有自己的足够的悟性
[2753.23-2754.71] 不要去尝试这些东西
[2754.71-2755.91] 很容易走偏
[2755.91-2757.15] 走火入魔是真的
[2757.15-2758.75] 那不是说假的
[2758.75-2759.59] 是真的存在的
[2759.59-2761.23] 所以老张提醒的特别好
[2761.23-2762.83] 大家别乱去尝试这东西
[2762.83-2766.27] 什么怪力乱神静而远之
[2766.27-2769.31] 你只要内心秉持正义良知
[2769.31-2770.87] 并且不断的学习
[2770.87-2773.55] 不断的对未来和未知进行好奇
[2773.55-2776.03] 这才是最好的提升自己
[2776.03-2778.15] 当你有一天已经顿悟了
[2778.15-2780.35] 觉得我差佛差不多了
[2780.35-2781.55] 你再弄
[2781.55-2782.35] 你再试
[2782.35-2785.75] 如果你每天满脑门子官司
[2785.75-2787.55] 想什么都像宅小鸟一样
[2787.55-2789.03] 啥东西都没想明白的
[2789.03-2792.07] 我操那你还你不被邪灵附体
[2792.07-2793.03] 谁被邪灵附体
[2793.03-2794.15] 所以是这样的
[2794.15-2795.71] 是这样提醒的好
[2795.71-2798.35] 您的阅历丰富
[2798.35-2800.19] 是我这种小老板没机会见识的
[2800.19-2800.39] 哎呀
[2800.39-2801.35] 你过奖了
[2801.35-2802.63] 您也是大老板
[2802.63-2803.39] 两三百人
[2803.39-2805.15] 我公司最大的时候不才20个人吗
[2805.15-2805.99] 宅小鸟说的吗
[2805.99-2807.31] 这哪有您厉害
[2807.31-2809.83] 希望能多听一些趣闻逸事
[2809.83-2812.63] 另外您对历史时事的洞察通思易懂
[2812.63-2813.43] 希望多多分享
[2813.43-2814.07] 好
[2814.07-2817.79] 以后多跟大家扯些灌水的闲篇
[2817.79-2818.99] 我目前住在多伦多
[2818.99-2820.07] 如果您路经此地
[2820.07-2821.87] 非常有机会能跟您见面交流
[2821.87-2823.11] 好啊
[2823.11-2825.23] 有机会我一定会去找你的
[2825.23-2826.15] 王兄
[2826.15-2829.31] 我个人觉得那天上证指数的走法
[2829.31-2830.35] 是一个划时代的时代
[2830.39-2832.55] 事件是资本的莽撞行为
[2832.55-2835.03] 虽然让最高统治者们大惊失色
[2835.03-2836.83] 但也改变了政权对资本的看法
[2836.83-2839.07] 改变了中国政治经济的走向
[2839.07-2841.63] 今上可能从那天才开始真正下决心
[2841.63-2843.43] 开倒车
[2843.43-2843.95] 什么意思
[2843.95-2845.23] 我这个网友啊
[2845.23-2847.67] 2012年6月4号那天
[2847.67-2854.95] 大盘上证指数收盘下跌了64.89点
[2854.95-2859.15] 就是8964点
[2859.15-2860.47] 资本的力量
[2860.47-2861.67] 很多人问我
[2861.67-2863.83] 这个事说是不是巧合
[2863.83-2865.23] 我的铁粉一定记得
[2865.23-2868.87] 因为2012年不重要了
[2868.87-2870.99] 总之有一天
[2870.99-2873.35] 6月4号的一天
[2873.35-2875.27] 我跟大家其实在推特里边说过
[2875.27-2878.59] 我说那是我离开中国之后发生的事
[2878.59-2880.15] 我没有证据
[2880.15-2883.71] 但是是以我的经历和我的职业
[2883.71-2886.35] 我能判断出来概率非常之大
[2886.35-2889.31] 中国股市上证指数
[2889.31-2890.47] 尤其是有了期货
[2890.47-2891.43] 估值期货之后
[2891.67-2896.23] 中国股市的上证指数很有可能是电子盘
[2896.23-2897.59] 很有可能是造出来
[2897.59-2898.91] 画出来的
[2898.91-2899.55] 有做市商
[2899.55-2902.11] 有画盘的画盘机
[2902.11-2905.35] 不是老百姓真的沪深300
[2905.35-2908.19] 沪深几百的指数走出来加权换算
[2908.19-2908.95] 不是
[2908.95-2911.11] 就是他们画的
[2911.11-2912.43] 当然他画的过程中
[2912.43-2914.27] 他也不能背离
[2914.27-2918.27] 乖离这个石盘太远
[2918.27-2919.67] 但是在石盘的范围之内
[2919.67-2919.71] 但是在石盘的范围之内
[2919.71-2919.83] 但是在石盘的范围之内
[2919.83-2919.91] 但是在石盘的范围之内
[2919.91-2919.95] 但是在石盘的范围之内
[2919.95-2920.11] 但是在石盘的范围之内
[2920.11-2920.35] 但是在石盘的范围之内
[2920.35-2922.39] 但是在石盘的范围之内
[2922.39-2924.67] 他们一定找到了
[2924.67-2926.71] 上交所的这些技术人员
[2926.71-2930.63] 高手们一定找到了一个区间
[2930.63-2933.15] 这个区间就是上帝留给他们的缝
[2933.15-2937.82] 他们在这里边赚钱赚老了
[2937.82-2938.86] 今上可能不知道
[2938.86-2940.54] 因为今上不懂这些东西
[2940.54-2944.78] 但是我猜我判断是正确的
[2944.78-2948.42] 这才是真正能在64那天走出8964
[2948.42-2951.02] 89.64这个行情的真正原因
[2951.02-2952.42] 否则巧合是解释不通的
[2952.42-2952.46] 否则巧合是解释不通的
[2952.46-2955.14] 根本不可能走出来这样巧合
[2955.14-2956.10] 不可能
[2956.10-2958.90] 就像人类是什么进化出来的一样
[2958.90-2961.98] 扯鸡不蛋一定是上帝制造的生命
[2961.98-2963.22] 不可能是自然而然
[2963.22-2966.18] 啪劈个雷就把氨基酸劈出来了
[2966.18-2967.70] 然后啪又劈了个雷
[2967.70-2968.82] 又扫氨基酸
[2968.82-2970.70] 就把他们单细胞生命体劈出来
[2970.70-2973.90] 扯鸡不蛋就是给你装出来的
[2973.90-2976.06] 就像乐高玩具一样给你插出来的
[2976.94-2977.58] 否则的话
[2977.58-2979.66] 一堆乐高玩具扔到海里
[2979.66-2982.10] 哇袭击赚他们100万年
[2982.10-2982.42] 乐高玩具
[2982.42-2983.58] 就能出来个机器人
[2983.58-2985.06] 你信吗
[2985.06-2986.34] 这扯鸡巴大嘛
[2986.34-2988.02] 那是违背你的常识
[2988.02-2991.38] 那上证指数也是一样的
[2991.38-2993.62] 我今天我没有任何证据
[2993.62-2994.74] 你就当我胡说八道吧
[2994.74-2996.54] 但是这个老灵魂
[2996.54-3001.30] 资本市场的老玩家跟你说的一定
[3001.30-3003.46] 非常接近现实
[3003.46-3004.82] 大家看过好莱坞一个大片吗
[3004.82-3007.82] 叫RED
[3007.82-3010.30] 就是其中有一个疯疯癫癫的
[3010.30-3012.06] 老中兴剧退休特工
[3012.06-3012.38] 那
[3012.38-3015.42] 大哥老是觉得身边所有的人都是中情局
[3015.42-3018.22] 现在的领导派人派来杀自己的杀手
[3018.22-3019.38] 像个神经病一样
[3019.38-3021.26] 然后布鲁斯威利斯
[3021.26-3024.86] 演男主和大美妞
[3024.86-3027.82] 他们俩就特跟他一起逃难
[3027.94-3030.22] 就特别觉得这个老头是个神经病
[3030.22-3031.26] 老给自己丢脸
[3031.26-3032.78] 但后来事实证明
[3032.78-3034.02] 老头在这一路上
[3034.02-3037.18] 老疯子在这一路上怀疑的每一个
[3037.18-3041.06] 都是真的是中情局派来杀他们的特工
[3041.06-3042.02] 就是
[3042.38-3045.30] 你们可能觉得老王是不是在说疯话
[3045.30-3046.94] 我真的疯了
[3046.94-3047.98] 不是
[3047.98-3050.58] 我是那个疯人院装疯的
[3050.58-3053.54] 看过大腕儿吗
[3053.54-3055.86] 葛优上电行之前就招了
[3055.86-3057.42] 别电
[3057.42-3059.10] 关志林在旁边要电的
[3059.10-3061.74] 我是装的
[3061.74-3063.66] 王小柱是真疯了
[3063.66-3065.54] 英达是真疯了
[3065.54-3067.26] 隔壁然后下一个镜头一切
[3067.26-3068.90] 英达那被电了
[3068.90-3070.22] 电的口头白沫
[3070.22-3071.26] 电完了
[3071.26-3072.22] Comfort
[3072.22-3075.30] 就是我是装疯的
[3075.30-3076.54] 他们是真疯了
[3076.54-3078.22] 宅小鸟是真疯了
[3078.22-3080.70] 就是上证指数
[3080.70-3082.26] 股指期货出来之后
[3082.26-3085.14] 上证指数绝逼是人画出来的
[3085.14-3088.86] 因为在石盘的算出来的指数之间
[3088.86-3090.70] 它有一个缝
[3090.70-3092.94] 这个缝有多少我不知道
[3092.94-3094.38] 是因为只有实践的人才知道
[3094.38-3095.50] 一个缝到底有多大
[3095.50-3097.42] 就是它上下能画多少
[3097.42-3099.86] 不背离实际曲线
[3099.86-3102.06] 能够最后出现吗
[3102.22-3104.74] 最后回归缝是多少
[3104.74-3105.22] 我不知道
[3105.22-3105.98] 但他们一定知道
[3105.98-3106.78] 那个gap
[3107.94-3108.38] 怎么讲
[3108.50-3110.74] 就像今天的宇宙万物一样
[3110.74-3113.50] 今天的宇宙万物人世间的这一切
[3113.50-3114.86] 包括阴曹地府
[3114.86-3116.30] 包括阳间的世界
[3116.30-3117.90] 确实是造物主造出来的
[3117.90-3119.46] 但是造物主可能走了
[3119.46-3122.30] 这套系统就好像是一个
[3122.30-3123.78] 大家玩古董的
[3123.78-3126.22] 你们见过明朝的床吗
[3126.22-3128.82] 明朝的一些石墓的红墓的那些
[3128.82-3130.34] 造的特别漂亮的床
[3130.34-3131.46] 精美无比
[3131.46-3132.30] 精致无比
[3132.30-3133.90] 但是它们都有缝
[3133.90-3135.38] 只要是真的
[3135.38-3137.14] 明朝的老东西
[3137.14-3138.78] 它缝都特别大
[3138.78-3139.22] 为什么
[3139.22-3140.46] 因为时间太久了
[3140.46-3141.54] 没有人保养
[3141.54-3142.54] 没有人打蜡
[3142.54-3143.62] 没有人使用
[3143.62-3145.18] 人气和潮气不够
[3145.18-3146.50] 它就裂缝了
[3146.50-3147.70] 但是它又没散
[3147.70-3149.06] 它还能运作
[3149.86-3153.62] 它缝就是今天真正存在于
[3153.62-3156.78] 我们五浊乱世和灵体世界的机会
[3156.78-3159.50] 所以当你找到缝的时候
[3159.50-3161.34] 你就能够
[3161.46-3164.34] 搬运美女过来
[3164.34-3166.42] 能通灵过去
[3166.42-3168.06] 能看到未来
[3168.06-3172.06] 那么从上海交易所的这帮高手里边
[3172.06-3174.86] 就他们有那个团队可以划线
[3174.86-3177.38] 他知道上缴索
[3177.38-3179.26] 那么这个线能划的话
[3179.26-3180.66] 他赚钱赚老了
[3180.66-3181.26] 我去
[3181.26-3183.30] 那真是
[3183.30-3187.78] 我是不是全网第一个说这话
[3187.78-3189.18] 我怀疑不是全网
[3189.18-3190.74] 就是全世界
[3190.74-3191.22] 第一个
[3191.22-3192.94] 在公开场合指出
[3192.94-3197.02] 因为应该是我是第一个
[3197.02-3201.42] 就是上海交易所和深圳交易所的某些股票
[3201.42-3206.62] 以及某些指数的交易的行情
[3206.62-3213.74] 并不是真正的随机出现的市场的这种买家卖家形成的了
[3213.74-3215.66] 而是人为的在化
[3215.66-3217.26] 真的觉得有可能
[3217.34-3218.10] 就当我是疯话
[3218.22-3219.10] 我没有任何证据
[3219.10-3220.94] 好了
[3221.22-3222.18] 今天不跟大家聊了
[3222.18-3222.86] 也不念了
[3224.06-3224.78] 时间太长了
[3224.78-3226.34] 要不然整天跟大家乐了
[3226.34-3227.30] 大家睡个好觉
[3227.46-3228.34] 我也要睡觉去了
[3228.34-3229.62] 你看今天出去了
[3229.62-3231.66] 圣诞节出去耍飙
[3231.66-3232.26] 穿了个背心
[3232.26-3232.78] 出去耍飙
[3232.78-3233.62] 冻着了
[3233.62-3235.74] 所以今天补点厚衣服
[3235.74-3236.34] 跟大家聊
[3237.66-3238.42] 别嫌我水
[3239.02-3240.66] 聊一些没用的东西
[3241.78-3244.02] 跟大家增进感情
[3244.02-3245.42] 记得多点赞
[3245.42-3246.38] 多关注
[3246.38-3247.34] 突破共产党
[3247.34-3248.50] 或者宅小鸟的粉丝
[3248.50-3249.98] 举报我对我的封锁
[3249.98-3250.10] 突破推特线的粉丝
[3250.10-3250.50] 突破推特线的粉丝
[3251.22-3252.22] 推特线流
[3252.22-3253.62] 推特线流了
[3253.62-3254.18] 说错了
[3254.18-3255.82] 油管线流
[3255.82-3256.34] 再见
