[0.00-2.40] 哈喽 大家好 老汪又来了
[2.80-5.28] 今天白天跟我儿子钓鱼
[2346.12-2347.28] 你一旦上瘾之后
[2347.28-2349.00] 你就会变得非常的强大
[2349.00-2350.88] 你的面相都会发生变化
[2350.88-2352.48] 你看老王现在特别爷们
[2352.48-2354.68] 然后女人就会特别喜欢你
[2354.68-2355.92] 觉得跟你在一起的时候
[2355.92-2357.24] 特别的有安全感
[2357.24-2359.48] 我老婆就是特别的爱我
[2359.48-2360.48] 特别有安全感
[2360.48-2361.44] 特别崇拜我
[2361.44-2362.52] 是我的小迷妹
[2363.00-2363.52] 这样的话
[2363.64-2364.68] 你的孩子们也是
[2364.68-2367.04] 孩子们虽然有的时候跟妈妈更好
[2367.76-2368.80] 但是孩子们
[2369.16-2370.32] 那爸爸不在家的话
[2370.32-2371.60] 晚上都不敢睡觉的
[2374.02-2374.90] 这集
[2375.38-2376.90] 听的太有感触了
[2376.90-2377.90] 请问大老王
[2377.90-2379.14] 普通人没啥钱
[2379.14-2380.66] 怎么去移民去美加
[2380.66-2382.26] 通过什么途径可以实验
[2382.26-2384.14] 大多数粉丝都是普通人
[2384.38-2385.30] 还是那句话
[2385.30-2387.54] 我不支持大家用走线
[2387.66-2389.74] 或者用假结婚的方式
[2389.74-2391.94] 非法的进入美国或加拿大
[2391.94-2393.18] 因为你每一步
[2393.18-2395.22] 都会给你下一步造成障碍
[2395.26-2396.66] 你如果真的是普通人
[2396.66-2398.90] 想进入美国或者加拿大的话
[2399.18-2402.10] 这边缺少大量的劳工
[2402.26-2403.94] 你们不要把自己的人生定位
[2403.94-2404.94] 定到那么费拉
[2404.94-2405.22] 哎呦
[2405.22-2407.02] 我必须得是刀比力
[2407.02-2408.34] 我必须做office
[2408.34-2409.82] 那都是费拉社会的
[2410.38-2412.22] 这边的社会非常的健康
[2412.26-2414.26] 这边如果你是个体力劳动者
[2414.30-2416.06] 你特别有面
[2416.10-2416.90] 极其有面子
[2416.90-2418.58] 绝对没有人会觉得
[2418.58-2420.66] 一个电工的社会地位
[2420.66-2422.94] 低于一个银行的柜台经理
[2422.94-2424.70] 绝对不存在这个问题
[2425.26-2427.86] 你如果要是有一技之长
[2428.06-2428.70] 很简单
[2428.70-2431.22] 你去蓝翔驾校学挖掘机
[2431.54-2433.26] 学汽车修理
[2433.30-2435.18] 你在这会过得非常舒服
[2435.22-2437.98] 你只要能开着那个挖掘机
[2437.98-2440.58] 能把那个瓶拿出来放到这儿
[2440.58-2441.82] 瓶拿出来放到这儿
[2441.82-2444.02] 你在加拿大一个小时125
[2444.02-2445.62] 有的是人请你干
[2445.78-2446.94] 挖掘机师傅
[2447.98-2448.98] 就是勾机
[2449.54-2450.90] X卡waiter
[2454.78-2456.46] 你会修柴油发动机
[2456.46-2458.26] 我操你简直是天神
[2458.26-2459.14] 你简直天神
[2459.14-2461.34] 你一天工作8个小时
[2461.34-2463.62] 每两个小时就得喝一次咖啡去
[2463.62-2464.50] 而且一出门
[2464.50-2466.22] 别人就给你寄时间付钱
[2467.10-2469.54] 还有比如说护士
[2469.82-2471.66] 男的女的都可以考
[2471.66-2473.90] 北京和沈阳各有一个护理学校
[2473.90-2475.42] 只要半年就能学完
[2475.62-2477.82] 这个证书是加拿大认的
[2477.86-2479.14] 你只要有这个证书
[2479.14-2480.26] 你去加拿大
[2480.30-2482.10] 随便找一个移民中介
[2482.14-2485.70] 就过来当养老院或者医院的护工
[2485.90-2488.06] 因为很多老人需要抱抱上床
[2488.06-2488.78] 抱下床
[2489.30-2490.74] 秒批你移民
[2491.02-2491.70] 批不下来
[2491.70-2493.02] 移民你来抽我
[2494.30-2495.86] 男的更需要
[2496.18-2497.06] 女的也需要
[2497.10-2499.22] 为什么男的体力更好
[2499.22-2501.90] 把老头老太太抱上床
[2501.90-2502.82] 你很轻松
[2502.82-2504.30] 女的未必能周得动
[2504.30-2507.74] 所以做医疗护工也很好
[2507.74-2509.74] 幼儿园教师也很好
[2510.26-2511.46] 厨师就不用说了
[2511.46-2512.98] 那是中国人的传统强项
[2513.46-2514.06] 对不对
[2514.06-2518.54] 所有的这一类的职业技术学校
[2518.78-2522.70] 都超过985211大学的含金量
[2523.90-2525.86] 而你并不用太费劲
[2525.86-2527.06] 你就能在中国
[2527.10-2533.50] 找到加拿大认可的这种技工学校的门槛
[2533.50-2534.70] 报名去学
[2534.70-2535.42] 学完了之后
[2535.42-2536.38] 拿到证书
[2536.38-2537.70] 用不了太长时间
[2537.94-2539.66] 然后你就可以申请移民
[2539.66-2540.54] 但是有个前提
[2540.54-2542.94] 你的英语必须有一个初级过关的能力
[2543.78-2545.14] 我老王都能做得到
[2545.14-2546.34] 你有什么做不到的
[2546.62-2547.62] 我们公司当时有个
[2547.62-2549.26] 你们学英语可以去菲律宾
[2549.26-2549.78] 并不贵
[2549.94-2552.46] 菲律宾的英语学校非常好
[2552.46-2555.14] 因为菲律宾人大部分都会说英语
[2555.78-2556.90] 菲律宾的英语学校
[2556.90-2558.26] 的教学水平
[2558.26-2561.18] 是超过中国北京的英语学校的
[2561.46-2565.94] 更重要的是菲律宾考雅思的分数和难度
[2566.30-2568.66] 要低于中国北京的这些考点
[2569.06-2570.38] 因为中国人太卷了
[2570.38-2572.82] 菲律宾人人家还是比较正常的
[2573.18-2574.42] 所以你学英语的话
[2574.58-2576.14] 可以考虑去菲律宾学
[2576.38-2577.34] 然后技术学校
[2577.70-2580.02] 你可以在北京上海或者广州
[2580.02-2581.54] 或者沈阳找这些
[2581.66-2583.06] 加拿大认可的技工
[2583.06-2586.02] 电工开大卡车的驾驶员
[2586.90-2589.02] 这里的工人水管工
[2589.38-2589.98] 木工
[2590.58-2591.30] 钱工
[2592.62-2595.06] 都需要大量的需要英语
[2595.18-2596.38] 还有英语是基础
[2596.38-2598.98] 所有的我的都是建立在你英语过关的
[2598.98-2600.14] 基础职场
[2600.86-2601.70] 说句不好听的
[2601.70-2603.74] 你就是来这当幼儿园老师
[2603.90-2607.30] 或者你在这当农场采摩故宫
[2607.30-2609.62] 都可以很容易的获得工作签证
[2609.62-2610.46] 就这么容易
[2610.46-2612.98] 但是如果你是拿个985211的
[2612.98-2613.86] 你还真不容易
[2614.38-2615.54] 老王最厉害的一点
[2615.54-2616.58] 就是在人生制高点
[2616.58-2617.30] 学了佛法
[2617.30-2618.26] 有薄弱的智慧
[2618.26-2619.54] 懂得藏和放的时机
[2619.54-2620.46] 所以无往不胜
[2620.46-2621.18] 人生开挂
[2621.70-2623.10] 你说这个也太捧我了
[2623.10-2623.94] 没有那么玄乎
[2623.94-2626.14] 因为我喜欢研究哲学
[2626.34-2628.22] 比如说当我见了王林
[2629.26-2630.62] 当我见了马文章
[2630.62-2632.62] 当我见了辽阳王大师的时候
[2632.66-2635.38] 他们就在无形中颠覆了我的三观
[2635.42-2637.18] 我理工男的高等数学
[2637.18-2638.06] 高等物理
[2638.06-2640.22] 量子力学的三观尽碎
[2640.94-2643.46] 我第一次肉眼看到
[2643.58-2644.90] 我无法解释的
[2644.90-2646.54] 并非魔术的奇迹的时候
[2646.54-2648.78] 我知道人是渺小的
[2649.34-2650.06] 所以这样的话
[2650.06-2652.26] 我们个人完全没有必要
[2652.26-2653.46] 因为念了个大学
[2653.46-2654.74] 就觉得自己素质好高
[2654.74-2656.10] 就可以避逆天下了
[2656.10-2657.34] 你太无知了
[2658.90-2660.62] 当我读完哲学之后
[2661.10-2663.42] 我就逐渐的形成了自己的世界观
[2664.26-2667.02] 基督教极其信奉上帝
[2667.02-2668.06] 他通过上帝
[2668.34-2670.14] 得到心里强大的支持
[2670.14-2671.70] 并且直接接到
[2672.02-2675.26] 叫做上帝的那种最强的总灵去
[2675.58-2676.50] 这是他们的路子
[2676.54-2678.82] 但是作为老王来说
[2678.82-2680.42] 我没有那么高的造化
[2680.42-2681.58] 我一直在问
[2682.46-2683.70] 你踩的那句话
[2683.70-2684.82] 上帝死了
[2685.42-2686.54] 你还不知道吗
[2687.98-2689.18] 如果上帝真的存在
[2689.18-2690.06] 他在哪里
[2690.30-2692.42] 当耶稣被钉死在十字架上的时候
[2692.42-2693.50] 耶稣真正喊的是
[2693.50-2695.14] 上帝你为什么背叛我
[2695.78-2697.06] 他们对我做这样的事情
[2697.06-2699.58] 你为什么不显示你的神迹来拯救我
[2699.98-2701.94] 最后被他的门徒
[2702.14-2703.06] 改成了上帝
[2704.46-2705.18] 原谅这些人
[2705.18-2706.38] 他们不知道自己在做什么
[2706.38-2709.26] 耶稣在十字架上
[2709.26-2710.70] 到底喊的是哪一句话
[2710.70-2711.70] 没有人能知道
[2712.26-2714.78] 但是我们作为俗世的俗人来说
[2715.70-2717.42] 我觉得耶稣可能喊第一句话的
[2717.42-2718.54] 可能性是非常大的
[2719.62-2721.42] 那么老王就在反问自己
[2721.42-2723.66] 如果上帝并不敬业
[2723.82-2725.06] 并不出来的话
[2725.06-2727.18] 我们还是否要信奉他呢
[2728.26-2730.18] 我们是否什么恶都可以做
[2730.46-2733.34] 毫无内心的波澜
[2733.34-2735.50] 因为上帝并不会来惩罚我们的
[2735.50-2737.30] 审判是并不存在的
[2737.30-2739.62] 就像翟山英现在骗你们
[2739.62-2740.90] 义无反掌一样
[2741.34-2743.50] 他除了圆他的谎发点愁
[2743.50-2746.54] 他根本不为了报应这个事发愁
[2747.22-2748.18] 后来我想明白了
[2750.22-2751.30] 上帝制造我们
[2751.74-2752.94] 就像我们制造孩子
[2754.02-2756.06] 孩子18岁之后就成年了
[2756.62-2757.22] 成年之后
[2757.22-2758.70] 我们要把它放到社会上去
[2758.70-2760.22] 让他自己成长
[2760.82-2762.90] 我们不会一直捧着他
[2762.90-2763.50] 哄着他
[2764.10-2766.18] 上帝或者造物造出人类
[2766.18-2766.78] 强迫人类成长
[2766.78-2767.74] 强暴阶段的时候
[2767.74-2768.46] 保护我们
[2768.46-2770.70] 怕我们被外力所毁灭
[2771.26-2772.86] 当我们如此强大的时候
[2773.38-2774.94] 他希望我们走出去
[2775.26-2777.06] 变成个有出息的孩子
[2777.38-2778.86] 荣耀他的造物主
[2779.34-2782.38] 我们其实就应该这样树立正面
[2782.86-2785.26] 我们就像上完大学的孩子一样
[2785.82-2787.50] 上帝即使真的死了
[2787.50-2787.90] 第一
[2787.90-2789.22] 我们不知道是不是上帝死了
[2789.22-2791.30] 以我们的凡夫愚见
[2791.30-2793.30] 根本不知道全职全能的上帝
[2793.62-2794.26] 在干什么
[2794.74-2795.10] OK
[2795.10-2795.94] 即使他死了
[2795.94-2796.66] 无论是他死了
[2796.66-2798.38] 还是他在偷偷的观察我们
[2798.90-2799.54] anyway
[2799.54-2800.38] 不重要
[2800.38-2802.22] 我们都要做好自己
[2803.54-2804.30] 做正面
[2804.30-2805.42] 睡踏实觉
[2805.66-2806.90] 把我们的爱
[2807.38-2808.90] 建造在这个星球上
[2808.90-2810.54] 这个星球会变得非常和谐
[2810.54-2812.34] 你们看老王的直播间
[2812.34-2813.90] 看老王的YouTube频道
[2813.90-2815.70] 老王的子女们的状态
[2815.74-2816.38] 就知道了
[2816.38-2818.30] 看老王和老婆的关系
[2818.38-2820.14] 你们就知道这其乐融融
[2820.14-2821.38] 有多么的幸福
[2821.42-2822.78] 这就是行好事
[2822.78-2824.50] 做善事的结果
[2824.66-2826.62] 所以一定要行善念
[2826.66-2828.90] 不是为了某一个上帝
[2828.90-2830.38] 只有不成熟的人
[2830.38-2831.86] 才需要一个依靠
[2831.86-2833.22] 如果你足够成熟
[2833.22-2835.14] 你就是别人的依靠
[2836.14-2837.34] 你为什么要依靠别人
[2837.82-2840.06] 你依靠自己不是最踏实的吗
[2840.22-2841.98] 所以我们自己行的端
[2841.98-2844.02] 做的正才是根本
[2845.74-2846.94] 欧洲和加拿大
[2846.94-2848.38] 哪里更适合视频里讲的
[2848.38-2849.30] 更利于孩子
[2849.30-2850.42] 当然是加拿大了
[2850.70-2852.10] 欧洲不算英国
[2852.22-2853.26] 英国也很好
[2853.50-2854.46] 欧洲不行了
[2855.10-2856.74] 每家移民成本太高
[2856.74-2857.50] 负担不起
[2857.50-2858.98] 考虑到家人生活习惯
[2858.98-2860.82] 可能亚洲比较实际
[2860.82-2861.50] 请问王老师
[2861.50-2862.06] 您说过
[2862.06-2863.30] 日本作为移民国家的话
[2863.30-2864.26] 会有自己的问题
[2864.30-2865.66] 请问具体问题是什么呢
[2865.66-2867.34] 排外还是经济不好
[2867.38-2868.06] 没有活力
[2868.06-2869.26] 韩国相比会好些吗
[2869.26-2869.82] 日本不错
[2869.94-2870.98] 日本还可以
[2871.02-2872.78] 日本的问题就是
[2872.94-2874.94] 日本的国民比较单一
[2874.94-2876.14] 他的种族比较单一
[2876.14-2878.06] 你不像在美国加拿大
[2878.06-2880.58] 这么容易的被理解和接纳
[2880.58-2881.82] 因为这边人从小
[2881.82-2883.22] 都知道各种颜色的
[2883.46-2886.70] 他们的胸怀是非常开阔的大陆胸怀
[2886.70-2887.30] 而日本是
[2887.50-2888.34] 老国胸怀
[2888.34-2889.30] 这是日本的问题
[2889.30-2891.22] 但是日本这个国家非常的好
[2891.26-2894.06] 生活物价现在都非常理想
[2894.62-2896.06] 是个不错的选择
[2896.10-2896.66] 居所
[2896.66-2898.66] 如果中国和日本之间
[2898.66-2900.18] 不做大的战争的话
[2900.18-2901.70] 日本是挺好的一个选择
[2901.74-2903.38] 如果做大的战争的话
[2903.50-2904.74] 就另当别论了
[2905.54-2907.74] 那么韩国相比会好
[2907.86-2909.10] 你千万别去韩国
[2909.10-2910.14] 韩国还不如中国
[2910.22-2910.70] 真的
[2910.74-2913.38] 韩国是个放大号的先进版的东北
[2915.35-2916.59] 你看一个国家好不好
[2916.59-2917.27] 很简单
[2917.47-2918.95] 你看他的总统下台以后
[2918.95-2920.19] 是活是死
[2920.47-2922.07] 你就知道他文明不文明了
[2922.11-2924.27] 韩国总统哪一个是善终的
[2924.71-2926.07] 你看人家日本首相
[2926.35-2927.23] 明白了吧
[2927.91-2929.39] 是没办法才去韩国
[2930.35-2930.79] 您好
[2930.79-2932.87] 在加拿大做电工需要什么证件
[2932.91-2935.35] 就是电工有个电工的牌
[2935.47-2936.23] 执照
[2936.31-2937.39] 如果是国内的电工
[2937.39-2938.19] 移民加拿大之后
[2938.19-2940.99] 加拿大认可国内的电工从业资格吗
[2940.99-2941.63] 不认可
[2941.63-2942.95] 你要在这边再学一下
[2942.95-2943.59] 但很简单
[2943.59-2944.63] 两三个月就学完了
[2944.63-2946.27] 因为你有很强的基础
[2946.27-2947.27] 但是还是那句话
[2947.27-2948.91] 英语一定要过雅思4.5
[2948.91-2950.71] 你到一定的英语水平
[2950.71-2951.39] 你才能听得懂
[2951.39-2952.19] 否则人家说什么
[2952.19-2952.99] 你都听不懂
[2953.03-2954.95] 而且在这儿电工
[2955.23-2956.03] 你来了之后
[2956.03-2957.87] 你就知道什么叫人权了
[2958.75-2960.11] 那就工会保护你了
[2961.03-2962.75] 老王习总说了
[2962.79-2965.59] 607080后意志不坚定
[2965.59-2966.55] 交班到他们手里
[2966.55-2967.63] 政权会变色
[2967.67-2968.91] 所以他终身制
[2969.07-2970.67] 就要把这三代人轮空
[2970.71-2972.15] 直接交给90后00后
[2972.39-2973.71] 习总真的这么说了吗
[2974.03-2975.15] 习总水平很高
[2975.47-2977.27] 我还盼着他死了以后
[2977.31-2978.43] 我们这一代人
[2978.43-2978.79] 啊
[2978.91-2980.43] 现在装着入心中魂入脑
[2980.43-2982.51] 到时候独裁了之后
[2982.51-2983.79] 能中国能复辟呢
[2983.79-2985.35] 他要是看到这一点
[2985.39-2986.19] 他直接洗脑
[2986.19-2987.15] 90后00后
[2987.15-2988.03] 尤其是00后
[2988.03-2989.27] 现在被他完全洗脑
[2989.27-2990.51] 成小红卫兵了
[2990.91-2992.55] 我女儿的
[2992.67-2993.63] 大女儿的北京
[2993.63-2994.63] 当时的小朋友
[2994.63-2996.31] 现在发过来
[2996.51-2997.03] 那个视频
[2997.03-2997.87] 我大女儿看到
[2997.87-2999.79] 说他们是hitler youth
[2999.83-3000.79] 我大女儿原来
[3000.83-3002.63] 他们看起来像hitler youth
[3002.67-3004.39] 就是希特勒青年团
[3004.43-3006.23] 这边不知道少先队
[3006.23-3007.35] 他们不知道少先队
[3007.39-3008.67] 他们叫希特勒youth
[3008.91-3012.34] 我说他们就是希特勒youth
[3012.34-3013.42] 一点区别都没有
[3014.42-3015.66] 我为我所强
[3015.66-3016.82] 什么普天之下
[3016.82-3017.62] 界为华夏
[3017.62-3018.46] 我去你妈
[3018.46-3019.14] 希特勒youth
[3019.14-3020.06] 也被他们这么疯
[3020.62-3021.62] 这波人要长大了
[3021.62-3022.22] 玩犊子了
[3022.22-3023.82] 要是习近平等到他们长大
[3023.82-3024.38] 接班
[3024.38-3024.82] 玩犊子
[3024.82-3027.18] 但是我赌习近平活不到那么长
[3027.70-3031.22] 老四说在叙利亚阿富汗
[3031.22-3032.74] 拿美国护照的就抹脖子
[3032.74-3034.14] 拿加拿大护照放心
[3035.14-3035.82] 这不提了
[3035.82-3038.18] 100万在温和华买不到好房子
[3038.30-3039.22] 谁说的
[3039.22-3040.06] 你怎么定义
[3040.06-3040.18] 好
[3040.22-3040.58] 房子
[3041.78-3043.46] 好房子不是穷奢极欲
[3043.46-3044.82] 而是你住的舒服
[3045.10-3046.66] 你和你所爱的人
[3046.66-3048.30] 在那有一个庇护所
[3048.46-3049.50] 这就是房子
[3049.50-3051.66] 100万在温和华有的是这样的房子
[3052.14-3053.18] 两室一厅
[3053.18-3053.78] 三室一厅
[3053.78-3054.66] 你都能买得到
[3054.66-3056.78] 你有什么没有好房子呢
[3058.38-3060.10] LingWin$25
[3060.10-3061.70] 给了我$25打赏
[3061.70-3062.26] 超级感谢
[3062.26-3062.70] 谢谢
[3062.90-3064.06] LingWin你是大哥吧
[3064.06-3065.66] 我我操
[3065.66-3066.30] 我太激动了
[3066.30-3068.34] 因为我从来没有收到这打算
[3068.34-3070.06] 我人生第一次你拿走了
[3070.06-3071.06] 太短了
[3071.06-3072.82] 家乡啤酒晚上继续唠
[3072.82-3074.66] 今天就唠呗
[3074.66-3076.26] 咱们就干了他们40多分钟
[3076.26-3077.14] 50分钟了吧
[3077.82-3078.98] 老王垫吉他摇捧
[3079.18-3080.18] 看有吉他了
[3080.62-3081.18] 你说对了
[3081.18-3083.06] 老王是音乐爱好者
[3084.86-3086.06] 老王从高一
[3086.58-3088.02] 你就开始学小号
[3088.46-3090.38] 到北京理工大学的时候
[3090.58-3091.90] 是首席小号
[3092.66-3095.46] 吹了七八年
[3096.50-3099.62] 然后吉他也是练了好几年
[3099.90-3101.26] 同桌的你弹的
[3101.26-3104.94] 跟老王使用差不多
[3105.90-3107.30] 但是好多年都放下了
[3107.82-3108.74] 这个吉他
[3108.78-3109.66] 等我儿子长大了
[3109.66-3110.26] 学吉他的时候
[3110.26-3111.18] 我再给他一块捡
[3111.86-3112.78] 等捡起来的话
[3112.78-3114.02] 到时候再给大家谈
[3115.78-3116.58] 再见
[3116.82-3118.46] 跟大家随便聊聊天
[3118.46-3119.22] 放放松
[3119.22-3120.42] 清醒一整天
[3121.54-3122.26] 再见
[3123.06-3124.18] 系的
[3124.18-3124.98] 调戏的
