[1.62-7.96] Hello,大家好,今天是老王日程非常爆满的一天
[2685.88-2688.28] 因为经常就把你的帖子删了
[2688.28-2689.24] 网管就删了
[2689.24-2691.40] 就说要和和谐社会
[2691.40-2693.20] 你这个与和谐社会不符
[2693.20-2694.10] 给你删掉了
[2694.10-2696.08] 那个时候就开始有这个破毛病
[2696.08-2698.18] 就是一旦开始删帖
[2698.18-2699.40] 最后形成独裁
[2699.40-2700.34] 就是一个时间问题
[2701.96-2702.56] 呃
[2703.58-2704.06] 所以呢
[2704.06-2706.04] 大家在喷的时候不要互相骂了
[2706.04-2707.66] 这个骂我操啊
[2707.66-2710.70] 你这个没什么营养
[2710.70-2711.54] 呃
[2711.54-2712.68] 最好是写长点
[2712.68-2713.70] 就是我怎么想的
[2713.70-2715.62] 然后怎么回事啊
[2715.62-2716.04] 对了
[2716.04-2721.86] 就是有一个有几个说你说的这个温哥华
[2721.86-2725.16] 我们怎么从来没有见过呃男士给女士拉门啊
[2727.14-2727.74] 我不知道
[2727.74-2730.20] 我见的温哥华是男士给女士拉门的
[2730.20-2732.36] 咱们也许生活在两个不同的温哥华吧
[2732.36-2732.96] 我想
[2734.22-2737.32] 纽约法拉盛和洛杉矶丁胖子
[2737.32-2739.92] 广场的男士也不给女士拉门
[2739.92-2740.70] 嗯
[2740.70-2741.60] 怎么说呢
[2741.60-2744.18] 这个世界是多元的和多层次的
[2744.18-2746.58] 即使在加拿大在温哥华
[2747.66-2751.26] 人也真的是分三六九等区也是分三六九等
[2751.26-2751.62] 嗯
[2751.62-2755.30] 如果我们想向上发展想
[2756.78-2759.96] 天行见君子以自强不息的话
[2759.96-2762.90] 最好不要说我没有见到过拉门的
[2762.90-2765.18] 所以这世界不存在拉门的
[2765.18-2769.50] 而是说既然有人说他见过拉门的
[2769.50-2770.04] 那是不是
[2770.04-2774.66] 从今天开始我如果跟女士一起走进推拉门的话
[2774.66-2775.86] 我帮女士拉一下
[2777.48-2781.14] 我如果是看到这样的信息
[2781.14-2782.88] 我是会这样做的
[2782.88-2787.32] 所以我希望我的这种行为模式能够影响尽可能多的人
[2787.32-2789.06] 就是你不要着急去否定
[2789.06-2792.84] 然后把自己关起来拒绝改变
[2792.84-2795.72] 先贤曰见贤思齐
[2795.72-2797.76] 你既然知道这世界上有好的东西
[2797.76-2799.32] 你为什么不学呢
[2799.32-2800.04] 那么容易
[2800.04-2801.06] 举手之劳吧
[2801.06-2804.03] 为什么要抗拒呢
[2804.03-2804.25] 好吧
[2804.25-2804.93] 再见
[2804.93-2806.73] 记得评论
[2806.73-2807.25] 拜拜
