[0.14-11.42] 好
[2267.55-2269.23] 大部分中国女人没到过
[2269.23-2269.81] 为什么呢
[2269.81-2273.23] 就是因为这一段的女人的这个东特别满
[2273.23-2274.43] 特别麻烦
[2275.69-2277.81] 这20%的最后
[2277.81-2278.57] 最后一段路
[2278.57-2279.85] 如果男性的话
[2279.85-2283.15] 洋这边洋洋剧这边是不可回头
[2283.15-2284.17] 自然惯性上去
[2284.17-2285.31] 女性这边就是什么
[2286.33-2290.29] 女性这边就是爬冰坡
[2290.29-2291.43] 而且是陡坡
[2291.43-2295.63] 数值向上的喜马拉雅山的最后一节
[2295.63-2298.57] 上面全是溜冰溜冰溜冰的
[2298.57-2302.07] 然后你最后这是那个女性的效果
[2302.07-2303.43] 你就别说惯性了
[2303.43-2305.47] 惯性你肯定上不去的
[2305.47-2306.31] 你说咔咔咔
[2306.31-2307.75] 让女性就是我
[2307.81-2312.25] 我跟女性搞一个小时这种雨水之欢
[2312.25-2313.89] 各种换姿势换体位
[2313.89-2315.25] 然后她自然高潮
[2315.25-2315.71] 不可能
[2315.71-2319.21] 那么这个阶段必须要用技巧
[2319.21-2320.71] 不光是用体能了
[2320.71-2321.53] 要用技巧
[2321.53-2323.55] 就是要穿冰稿
[2323.55-2324.59] 用冰靴
[2324.59-2326.31] 什么叫冰稿和冰靴
[2326.31-2329.07] 否则你就会卡在那99%的位置
[2329.07-2331.41] 就是她就到不了那最后那一下
[2331.41-2332.05] 为什么
[2332.05-2334.59] 她就是不会触电的一下
[2334.59-2335.09] 她不会到
[2335.09-2336.03] 为什么呢
[2336.03-2337.77] 又是因为原地打滑了
[2337.81-2338.97] 原地打滑
[2338.97-2339.79] 到不了高潮
[2339.79-2340.19] 为什么
[2340.19-2342.23] 因为你没找到她的记点
[2342.23-2344.59] 一定要找到她的记点
[2344.59-2346.09] 这是女性的秘诀
[2346.09-2349.97] 就是女性在最后的20%
[2349.97-2352.05] 要想突破到100%
[2352.05-2354.25] 80%要想突破到99%
[2354.25-2354.93] 突破到100%
[2354.93-2356.21] 一定要找到记点
[2356.21-2357.01] 找不到记点
[2357.01-2359.09] 这个女人一辈子都到不了新高潮
[2359.09-2360.81] 你不要说一个小时
[2360.81-2362.23] 你就是一千个小时
[2362.23-2363.87] 你这个捣烂了
[2363.87-2365.05] 她都到不了高潮
[2365.05-2365.85] 所以
[2365.85-2367.71] 秘诀就是什么
[2367.81-2370.31] 秘诀就是你找到她的记点
[2370.31-2372.99] 而且针对记点进行攻击
[2372.99-2376.47] 正确的攻击和摩擦女性的记点
[2376.47-2378.67] 是最后1%的秘密
[2378.67-2381.59] 那么在这个过程中
[2381.59-2384.15] 找她的记点
[2384.15-2386.63] 就是一个真正的女性身体
[2386.63-2387.97] 打开给你的秘密
[2387.97-2390.41] 为什么你搞不定这个女人
[2390.41-2391.83] 跟你离婚的时候
[2391.83-2393.95] 冷眼无情的
[2393.95-2395.01] 就是她妈给你抛弃了
[2395.01-2395.27] 为什么
[2395.27-2396.61] 因为你没找到她的记点
[2396.61-2397.79] 而另一个原因是
[2397.81-2398.69] 这个男人找到了
[2398.69-2400.23] 你肯定输了
[2400.23-2401.95] 范增就找到了
[2401.95-2403.29] 徐尊德就没找到
[2403.29-2404.43] 那他就输了
[2404.43-2405.93] 就这么简单
[2405.93-2409.71] 所以还记得那个电影可有意思了
[2409.71-2413.41] 我看土匪老大
[2413.41-2415.63] 然后他老婆居然给戴绿帽了
[2415.63-2416.71] 给摁住了
[2416.71-2417.85] 我有什么对不起你的
[2417.85-2420.67] 然后小媳妇哭哭啼啼的
[2420.67-2422.39] 因为土匪要干掉他了
[2422.39-2423.73] 还要杀掉奸夫淫妇了
[2423.73-2426.05] 说我跟你两年了
[2426.05-2427.43] 都不如跟那哥哥
[2427.43-2429.97] 两个晚上的快活
[2429.97-2432.95] 是土匪
[2432.95-2434.29] 是宋江还是谁的
[2434.29-2435.59] 颜柏熙的台子是谁
[2435.59-2436.03] 我忘了
[2436.03-2442.93] 反正就是非常真实
[2442.93-2443.15] 好了
[2443.15-2444.87] 我们讲记点的正确位置
[2444.87-2447.83] 现在进入最关键时刻
[2447.83-2449.61] 摩擦记点三部曲
[2449.61-2451.35] 首先第一点
[2451.35-2452.81] 就是正确找到记点位置
[2452.81-2453.93] 记点位置不一样
[2453.93-2454.87] 每个女人都不一样
[2454.87-2456.97] 大部分女人的记点
[2457.43-2459.31] 在她阴道的口附近
[2459.31-2462.55] 11点钟到1点钟之间
[2462.55-2464.49] 如果女性仰躺的话
[2464.49-2465.87] 大家知道12点是正上方
[2465.87-2467.75] 她不一定在正上方
[2467.75-2468.53] 她有可能在这
[2468.53-2469.05] 有可能在这
[2469.05-2471.75] 就是11点到1点之间的某一个地儿
[2471.75-2473.91] 深度大概5厘米
[2473.91-2475.63] 大概5厘米
[2475.63-2477.53] 兴奋的时候会变硬
[2477.53-2478.71] 变成个硬
[2478.71-2480.57] 有点像陶盒
[2480.57-2481.35] 早盒
[2481.35-2482.71] 兴奋的时候
[2482.71-2483.69] 这个就是记点
[2483.69-2485.37] 这大部分女生不是每一个
[2485.37-2487.27] 有的女生记点不在这儿
[2487.27-2487.41] 有的女生记点不在这儿
[2487.43-2489.83] 有的女生记点在比较深的地方
[2489.83-2491.35] 你要用龟头去碰了
[2491.35-2492.95] 另外有的女生的记点
[2492.95-2494.69] 在阴地的位置
[2494.69-2496.13] 她只能阴地高潮
[2496.13-2497.51] 那你就费劲了
[2497.51-2499.43] 你用鸟插一辈子
[2499.43-2500.41] 你插不着都高潮
[2500.41-2503.09] 你就配合手法了
[2503.09-2505.11] 因为她要是在阴地记点
[2505.11-2506.97] 她记点没有在阴道里边
[2506.97-2508.69] 那你就只能用手了
[2508.69-2509.61] 因为你的小鸡鸡
[2509.61-2510.99] 你又不可能
[2510.99-2512.93] 小鸡鸡没有这么灵活
[2512.93-2514.77] 所以这个就是
[2514.77-2516.75] 加腾鹰就得就位了
[2516.75-2517.11] 然后
[2517.43-2518.91] 第一个是找到她位置
[2518.91-2520.83] 老王那我怎么找不着
[2520.83-2522.19] 我媳妇记点
[2522.19-2523.35] 把你媳妇送给我
[2523.35-2526.19] 我找到了再给你还回去
[2526.19-2527.13] 笨蛋
[2527.13-2529.63] 你怎么吃饭的时候
[2529.63-2531.45] 面条你怎么不往耳朵里杵
[2531.45-2533.99] 你怎么不把米饭往鼻子里塞
[2533.99-2534.97] 你还找不着
[2534.97-2535.95] 你忙啥
[2535.95-2537.27] 什么事比这个事更重要
[2537.27-2538.83] 试问各位男生
[2538.83-2540.55] 各位丈夫
[2540.55-2541.63] 你们男朋友们
[2541.63-2543.47] 你们啥事比这事重要
[2543.47-2544.97] 这个事你都不
[2544.97-2546.53] 找不着
[2546.53-2546.97] 找不着
[2546.97-2547.41] 去去去
[2547.43-2548.01] 滚
[2548.01-2550.19] 去当和尚去吧
[2550.19-2552.29] 所以这个事是一定会找着
[2552.29-2552.75] 第一
[2552.75-2554.61] 找不着就去滚
[2554.61-2555.29] 就不要给我
[2555.29-2557.07] 不要当我听众了
[2557.07-2557.65] 第二
[2557.65-2559.97] 找到正确的位置以后
[2559.97-2562.27] 要用正确的方法
[2562.27-2564.95] 记点和阴地记点和阴道字典
[2564.95-2566.15] 记点都是一样的
[2566.15-2567.43] 记点特别敏感
[2567.43-2569.81] 所以千万不要跟你们看
[2569.81-2571.23] 假日本AV那么干
[2571.23-2573.51] 那个石镜抠
[2573.51-2575.53] 你当记点是珍珠
[2575.53-2576.39] 能抠下来
[2576.39-2577.41] 他会说
[2577.43-2578.67] 受伤的
[2578.67-2580.97] 所以一定要温柔
[2580.97-2583.13] 开始的时候一定要温柔
[2583.13-2588.59] 这样老王给你们这么讲
[2590.15-2592.05] 你你用舌尖
[2592.05-2592.97] 男人的舌尖
[2592.97-2593.91] 这是最软的地方
[2593.91-2594.39] 我告诉你
[2594.39-2598.55] 舌尖使劲舔疼了
[2598.55-2600.05] 你就知道力道了
[2600.05-2601.13] 如果是用手
[2601.13-2602.69] 比如说我的鼻子尖是记点
[2602.69-2603.75] 我给你们比划比划
[2603.75-2606.97] 比如说这这个这个这个力度
[2607.43-2609.01] 大了大了
[2609.01-2610.25] 大了
[2610.25-2611.75] 不是说这样
[2611.75-2617.64] 就是这样的力度才是对的
[2617.64-2618.80] 就是几乎没有力度
[2618.80-2620.36] 这你看
[2620.36-2621.94] 这你想不到吧
[2621.94-2623.38] 男生们你们想不到吧
[2623.38-2624.66] 因为这就叫女生
[2624.66-2626.34] 女生的身体很柔软
[2626.34-2627.32] 很脆弱的
[2627.32-2628.92] 没有什么叫记点
[2628.92-2631.48] 记点
[2631.48-2635.00] 你要谢天谢地
[2635.00-2636.32] 你老婆没有碰上我
[2636.32-2638.22] 弄一次就不跟你好了
[2638.22-2638.78] 你知道吗
[2638.78-2639.62] 所以一定要
[2639.62-2641.02] 一定要温柔
[2641.02-2641.90] 特别温柔
[2641.90-2643.82] 尤其是开始了两三分钟
[2643.82-2644.46] 三四分钟
[2644.46-2647.06] 特别温柔
[2647.06-2648.06] 不要以为
[2648.06-2651.82] 他叫了一声是因为你说他爽了
[2651.82-2653.60] 这个他因为他疼了
[2653.60-2655.80] 所以一定要找到记点
[2655.80-2657.24] 或者你猜到几点的位置
[2657.24-2658.74] 因为记点位置我都告诉你了
[2658.74-2660.12] 还他妈不知道吗
[2660.12-2660.86] 然后你摸到了
[2660.86-2662.12] 或者你用手摸到
[2662.12-2663.38] 或者你用手摸
[2663.38-2665.42] 记住一定要用润滑液啊
[2665.42-2666.26] 去超市买
[2666.26-2668.62] 或者在京东买到处都是润滑液
[2668.62-2669.60] 就是人体润滑液
[2669.62-2672.24] 买的一定要一定要用润滑液
[2672.24-2674.98] 绝对不能干手进去
[2674.98-2676.42] 而且要把手指甲修好
[2677.86-2679.64] 所有留长指甲的男人
[2680.84-2681.64] 女性叫什么
[2681.64-2683.12] 别理他们这帮孙子啊
[2683.12-2684.02] 就是那有的男的
[2684.02-2685.52] 那指甲留把辈老长
[2685.52-2685.88] 我操
[2688.38-2690.92] 这种男人你不打死他算了
[2690.92-2693.12] 压根没有服务意识
[2693.12-2695.06] 你看咱这指甲修的多好
[2695.06-2696.24] 多圆啊
[2696.24-2698.30] 就是真懂吧
[2698.30-2699.46] 所以就不能伤着人
[2699.46-2699.60] 啊
[2699.62-2700.96] 所以呢
[2700.96-2701.96] 然后呢
[2701.96-2702.84] 要轻柔
[2702.84-2704.78] 非常温柔
[2704.78-2705.84] 而且你要知道
[2705.84-2707.68] 女性一切都是一个规律啊
[2707.68-2708.50] 女性一切都是
[2708.50-2710.30] 她越来越慈事
[2710.30-2712.10] 开始你温柔
[2712.10-2713.64] 真正到高潮的时候
[2713.64-2714.88] 她反而不用温柔了
[2714.88-2717.00] 越到后期
[2717.00-2717.92] 你看她的反应
[2717.92-2720.50] 她快口眼歪斜的时候
[2720.50-2722.18] 你要加大力度了
[2722.18-2723.44] 而且要加快了
[2723.44-2724.56] 开始不要快啊
[2724.56-2726.18] 开始轻轻的摸就行
[2726.18-2727.68] 就这么轻轻的摸
[2727.68-2728.64] 如果屌的话
[2728.64-2729.46] 也是轻轻的屌
[2729.46-2731.46] 那后来就可以
[2731.46-2733.06] 就可以这个力度了
[2733.06-2734.78] 这个力度了
[2734.78-2735.22] 明白吧
[2735.22-2736.38] 没有这个力度啊
[2736.38-2737.42] 永远都不要这个力度
[2737.42-2737.72] 所以
[2737.72-2740.22] 但是呢
[2740.22-2742.40] 对付女人
[2742.40-2743.24] 男人记住啊
[2743.24-2744.26] 一切都跟你相反
[2744.26-2745.52] 千万不要着急
[2745.52-2748.48] 这句成语叫操之过急
[2748.48-2750.46] 千万不要操之过急
[2750.46-2753.66] 因为她是一个很慢顿
[2753.66-2754.94] 很晚的动物
[2754.94-2757.34] 她之所以没告诉你
[2757.34-2758.60] 她是怕你伤心
[2758.60-2759.44] 她不告诉你
[2759.46-2761.72] 但是你要是真的做对了
[2761.72-2763.14] 她就会很幸福
[2763.14-2764.42] 第三
[2764.42-2766.28] 第三个要义
[2766.28-2768.14] 就是当女性的兴奋度
[2768.14-2769.36] 到95%的时候
[2769.36-2770.64] 能感觉到
[2770.64-2771.42] 她就是
[2771.42-2772.32] 你们干了
[2772.32-2773.32] 比如半个小时了
[2773.32-2774.20] 她已经就是
[2774.20-2776.36] 后继勃发到最后一下的时候
[2776.36-2777.62] 她已经什么都开始喊
[2777.62-2778.58] 乱喊的时候
[2778.58-2780.64] 这个时候要火力全开
[2780.64-2781.76] 如果你的大屌
[2781.76-2782.90] 再碰到她的记点
[2782.90-2784.06] 大屌火力全开
[2784.06-2784.86] 记住啊
[2784.86-2785.98] 火力全开
[2785.98-2787.54] 要对着记点开啊
[2787.54-2789.34] 不要倒的那么深啊
[2789.34-2789.44] 不要倒的那么深啊
[2789.46-2790.64] 如果你的女朋友的记点
[2790.64-2791.86] 是很浅的位置的话
[2791.86-2793.28] 五厘米的话
[2793.28-2796.90] 你知道男性不得一般吹自己的
[2796.90-2798.10] 小弟弟是15厘米
[2798.10-2799.04] 什么18厘米吗
[2799.04-2800.54] 三分之一进去
[2800.54-2801.52] 听懂了吧
[2801.52-2803.38] 别人们两根进墨
[2803.38-2805.38] 三浅一深
[2805.38-2806.34] 九浅一深的浅
[2806.34-2807.24] 就是进三分之一
[2807.24-2808.22] 就是碰记点去
[2808.22-2810.22] 然后呢
[2810.22-2811.48] 这个时候你火力全开
[2811.48-2813.18] 你可以大力抽插
[2813.18-2813.90] 但是大力抽插
[2813.90-2814.64] 也不是全进去
[2814.64-2816.52] 因为全进去就过了几点了
[2816.52-2819.08] 然后当她的达到高潮
[2819.08-2819.34] 她就会说
[2819.34-2820.22] 你能看出来
[2820.22-2821.10] 她达到高潮了
[2821.10-2822.78] 因为她的阴道的状态
[2822.78-2824.62] 她子宫的状态全都不一样了
[2824.62-2827.38] 一下子就就是女性的体内的
[2827.38-2829.34] 一下就出了洪荒之力
[2829.34-2831.34] 就开始怎么讲
[2831.34-2833.62] 就是你的火箭就开始被裹
[2833.62-2834.50] 就是她那个下身
[2834.50-2836.82] 就就像有一个真空泵一样
[2836.82-2837.62] 裹你的时候
[2837.62-2837.82] 哎
[2837.82-2839.10] 这个是她真的到高潮了
[2839.10-2840.18] 这装不来的
[2840.18-2841.06] 那这装不来
[2841.06-2841.90] 她嘴上喊什么
[2841.90-2842.90] 她下边她她运
[2842.90-2844.06] 运功她运不到的
[2844.06-2844.82] 所以呢
[2844.82-2846.42] 在这个时候
[2846.42-2848.46] 女星女生因为高潮状态
[2848.46-2849.22] 她的阴道会收回
[2849.22-2849.62] 收缩
[2849.62-2851.36] 这个时候呢
[2851.36-2853.32] 你要施展
[2853.32-2855.50] 如果你这个时候要被夹的受不了
[2855.50-2856.62] 要要要射出来了
[2856.62-2858.96] 这个时候要想一下教主
[2858.96-2860.18] 想一下习主席
[2860.18-2861.92] 转一下注意力
[2861.92-2863.30] 然后因为
[2863.30-2866.08] 把女性完全服务完
[2866.08-2867.12] 是男人的天职
[2867.12-2869.46] 一定要顶住这个吸引挑战
[2869.46-2871.44] 一定要等女性
[2871.44-2872.60] 尤其你想要儿子的话
[2872.60-2875.30] 一定要当女性完全高潮完以后
[2875.30-2876.18] 累瘫了之后
[2876.18-2879.06] 然后再用自己的喜欢子
[2879.06-2879.20] 自行
[2879.22-2880.62] 最后冲击一下射精
[2880.62-2882.46] 明白吗
[2882.46-2885.84] 那我女朋友不同意怎么办
[2885.84-2886.46] 我告诉你
[2886.46-2887.94] 女性没有不应期
[2887.94-2890.24] 女性没有不应期
[2890.24-2891.16] 她刚刚高潮完
[2891.16-2891.76] 浑身大汗
[2891.76-2892.22] 趴在那
[2892.22-2893.40] 你最后射那下
[2893.40-2894.12] 她依然在那
[2894.12-2896.10] 叽叽歪歪的叫的可爽了
[2896.10-2896.80] 横横击击的
[2896.80-2897.08] 为什么
[2897.08-2898.78] 因为她依然是一个想法
[2898.78-2899.60] 她跟男人不一样
[2899.60-2901.18] 男人是真有不应期的
[2901.18-2903.16] 所以这个时候
[2903.16-2906.94] 你完成了你的这个最后的冲刺射精之后
[2906.94-2908.14] 那个时候
[2908.14-2909.06] 女性完全被射击了
[2909.06-2909.88] 被你弄的就是
[2909.88-2914.18] 就是等于软作一团一团的时候
[2914.18-2916.34] 你这时候一个床上绅士
[2916.34-2919.82] 最后还要抱着她聊一聊天
[2919.82-2921.90] 当然如果你们是内设
[2921.90-2922.88] 无套的话
[2922.88-2925.48] 那你这时候你还得拿湿纸巾帮她擦一下
[2925.48-2927.38] 因为会流出来的一会儿
[2927.38-2928.02] 所以这个事
[2928.02-2930.62] 这就叫男性的床上礼仪
[2930.62-2933.54] 真正的合格的男性绅士
[2933.54-2935.16] 是这样做的
[2935.16-2937.20] 这个是我今天讲的全是干货
[2937.20-2938.20] 我估计
[2938.20-2938.90] 嗯
[2938.90-2941.06] 老王性能力差
[2941.06-2942.16] 性能力一般
[2942.16-2942.98] 但是技巧
[2942.98-2945.70] 就是我的这个体能
[2945.70-2948.30] 显然我肯定不是那种特别好的体能
[2948.30-2949.54] 因为毕竟是岁数
[2949.54-2951.18] 因为我也不是运动员出身
[2951.18-2953.32] 但是我有自信
[2953.32-2955.24] 就是100个男的跟我比
[2955.24-2957.04] 可能95个
[2957.04-2958.26] 甭管你们多大岁数
[2958.26-2959.20] 包括18岁的
[2959.20-2960.32] 90
[2960.32-2961.96] 我不敢吹是99个不行
[2961.96-2963.62] 但是至少95个就下后边
[2963.62-2964.62] 后边待着
[2964.62-2965.70] 为什么呢
[2965.70-2966.18] 有这个
[2966.18-2968.38] 我这个王老头有这个自信呢
[2968.38-2968.62] 就是
[2968.90-2970.62] 不停的要内观自己
[2970.62-2972.82] 要见贤思奇
[2972.82-2974.20] 日三星乎无深
[2974.20-2975.12] 这样的话
[2975.12-2975.90] 就好多人说
[2975.90-2977.70] 老王你看你整天这么花
[2977.70-2978.58] 你老婆怎么不管你
[2978.58-2980.16] 你要有这样的老公
[2980.16-2980.88] 你会管他吗
[2980.88-2982.10] 太好了简直
[2982.10-2982.78] 太完美了
[2982.78-2983.10] 对不对
[2983.10-2984.16] 好了
[2984.16-2986.82] 我咋感觉你讲过这个
[2986.82-2989.34] 那你做预知梦了吧
[2989.34-2992.22] 昨天我讲的前半部分
[2992.22-2994.96] 今天讲的后半部分
[2994.96-2995.80] 我第一次讲
[2995.80-2998.88] 不是要把两条腿倒掉
[2998.90-3001.02] 把两条腿倒提着吗
[3001.02-3003.70] 你五松打虎
[3003.70-3006.70] 还是什么鲁智深拳打郑关西
[3006.70-3011.90] 两只腿倒提着
[3011.90-3014.44] 老王给你经常溜冰
[3014.44-3015.44] 什么溜冰
[3015.44-3016.78] 你说吸毒吗
[3016.78-3017.52] 我从来不蹦
[3017.52-3021.06] 直接尿了是找到了吗
[3021.06-3022.22] 好多次了都
[3022.22-3027.24] 现在有一种流行的说法
[3027.24-3027.74] 叫潮吹
[3027.74-3028.78] 其实那是不科学的
[3028.78-3028.88] 那是不科学的
[3028.90-3029.70] 那个其实就是尿
[3029.70-3032.80] 就是被日本AV引导的
[3032.80-3034.58] 女性有的时候在高潮的时候
[3034.58-3037.40] 因为她压迫她的那个尿
[3037.40-3038.80] 就是那个叫什么
[3038.80-3039.52] 那个膀胱
[3039.52-3041.74] 她就会分泌一些新的尿液出来
[3041.74-3044.88] 有的时候她会失禁的
[3044.88-3047.42] 日本人管这叫潮吹
[3047.42-3050.00] 但是你看那个资深日本AV女优
[3050.00-3051.76] 潮吹女王退役了以后
[3051.76-3052.58] 接受采访说
[3052.58-3053.42] 我圣不好
[3053.42-3054.50] 我圣不好
[3054.50-3055.48] 我尿道严
[3055.48-3055.80] 为什么
[3055.80-3057.78] 因为当时为了拍A片
[3057.78-3058.88] 要喝四手酒
[3058.90-3059.26] 喝四升水
[3059.26-3062.86] 就是开机之前喝四升水
[3062.86-3063.58] 为什么
[3063.58-3064.42] 产生尿液
[3064.42-3066.60] 然后足够的拍那个过程
[3066.60-3069.68] 所以最后把她的那个尿道给她弄坏了
[3069.68-3073.12] 潮吹女王接受采访
[3073.12-3074.12] 就是这个不好
[3074.12-3076.90] 而且会把床弄脏的
[3077.52-3078.22] 这个不好
[3078.22-3079.62] 不是说你做不到
[3079.62-3080.48] 能做到
[3080.48-3081.52] 尤其是拿秒潮
[3081.52-3082.54] 一会就做到了
[3082.54-3085.84] 但是你就是最好不要让你的女伴搞得这么狼狈
[3085.84-3086.88] 因为这个事
[3086.88-3088.84] 没必要
[3088.90-3091.10] 就是我反对潮吹这个概念
[3091.10-3092.98] 这是我很明确的告诉你
[3092.98-3094.40] 那个东西是假的
[3094.40-3095.60] 是一个伪科学
[3095.60-3097.64] 世界上不存在所谓的潮吹出来的
[3097.64-3099.06] 不是尿液
[3099.06-3099.50] 还跟你说
[3099.50-3100.42] 那不是尿液
[3100.42-3101.94] 那是前列腺液
[3101.94-3102.40] 去你妈
[3102.40-3104.70] 女人就没长前列腺
[3104.70-3107.66] 你还说那干脆是精液算了
[3107.66-3108.28] 你咋不说你
[3108.28-3110.20] 咋不说你女朋友高潮的时候
[3110.20-3111.34] 射出来的是精液呢
[3111.34-3113.86] 那就是尿液
[3113.86-3115.68] 一点都不骚
[3115.68-3116.78] 新鲜的尿
[3116.78-3118.04] 刚出来的是不骚
[3118.04-3118.88] 她不慌
[3118.90-3119.70] 废她妈话
[3119.70-3120.74] 她刚喝的水
[3120.74-3121.82] 刚出来的
[3121.82-3123.70] 你刚喝完水尿的尿
[3123.70-3124.78] 她不也是白的吗
[3124.78-3125.98] 所以这个事
[3125.98-3128.48] 是不是让她爽
[3128.48-3129.22] 玩得越变态
[3129.22-3130.04] 她以后越忘不了
[3130.04-3131.26] 不要说变态
[3131.26-3132.50] 如果她是高度
[3132.50-3133.48] 我跟你讲
[3133.48-3134.20] 有一句话
[3134.20-3135.74] 有一句话
[3135.74-3140.60] 就是女性的心是连着阴道的
[3140.60-3142.40] 男性的心是连着胃的
[3142.40-3143.70] 这是有道理的
[3143.70-3146.94] 就是女性一次到了
[3146.94-3148.16] 被你干到高潮
[3148.16-3148.88] 如果她这一生
[3148.90-3149.80] 你是她第一个
[3149.80-3151.44] 这样干过她的男人的话
[3151.44-3152.68] 她忘不了你
[3152.68-3153.64] 这真的是这样
[3153.64-3159.35] 然后需要提醒的是
[3159.35-3161.55] 在掌握正确的性技巧的条件下
[3161.55-3162.59] 虽然女性的个例
[3162.59-3163.95] 也是需要具体分析的
[3163.95-3166.03] 一般都是需要磨合多次
[3166.03-3167.51] 才能找到适合的高潮钥匙
[3167.51-3168.95] 这话说的也有道理
[3168.95-3171.57] 你不要寄希望于你嫖娼
[3171.57-3173.31] 能双方达到性高潮
[3173.31-3173.67] 不可能
[3173.67-3175.03] 或者很难
[3175.03-3175.79] 嫖娼
[3175.79-3176.11] 为什么
[3176.11-3176.83] 没有感情
[3176.83-3178.53] 没有感情的性
[3178.53-3180.03] 是毫无意义的
[3180.15-3181.79] 老王你是不是装逼呢
[3181.79-3182.89] 装逼遭雷劈
[3182.89-3185.31] 好多女人说
[3185.31-3186.75] 男人就他们下半身思考
[3186.75-3187.31] 真不是
[3187.31-3188.65] 我告诉你
[3188.65-3190.29] 男性到了我这岁数
[3190.29-3191.61] 或者到了我这个境界
[3191.61-3192.51] 吃过见过
[3192.51-3193.93] 玩过这么多年之后
[3193.93-3194.35] 我告诉你
[3194.35-3195.43] 真正的性高潮
[3195.43-3197.47] 一定是灵与肉的结合
[3197.47-3200.23] 只有肉是不够的
[3200.23-3201.07] 但是没有肉
[3201.07-3202.83] 那是更不够的
[3202.83-3204.43] 你跟红姐
[3204.43-3205.83] 无论如何都到不了高潮
[3205.83-3206.39] 听着吗
[3206.39-3208.15] 红姐那些所有的客人
[3208.15-3210.03] 都是尿憋的
[3210.15-3211.47] 憋骚的
[3211.47-3213.15] 那都是社会最底层
[3213.15-3215.83] 真正到了原外级
[3215.83-3217.47] 社会高层人士
[3217.47-3219.13] 咱们的就是小康之后
[3219.13-3222.59] 你这个男女之间要有感情
[3222.59-3223.79] 要多次磨合
[3223.79-3225.51] 而且就是日久生情
[3225.51-3226.99] 日的越长
[3226.99-3229.33] 双方高潮的钥匙把握的越准
[3229.33-3230.69] 感情越好
[3230.69-3231.99] 因为他就像跳舞一样
[3231.99-3232.89] 很爽的
[3232.89-3233.65] 如果跳舞
[3233.65-3234.41] 这个舞伴
[3234.41-3235.55] 你跳舞
[3235.55-3237.09] 一个好舞伴难求的
[3237.09-3238.03] 你知道吧
[3238.03-3239.87] 如果这俩货跳的特别好
[3239.87-3240.13] 配合
[3240.15-3241.85] 他俩老跳
[3241.85-3243.11] 这一辈子他俩都是舞伴
[3243.11-3244.49] 而且一曲一来
[3244.49-3245.27] 他俩又忍不住
[3245.27-3247.01] 又抱一起跳一场
[3247.01-3247.81] 这个就是什么
[3247.81-3248.77] 就一样的
[3248.77-3250.79] 就是太舒服了
[3250.79-3251.35] 因为这个东西
[3251.35-3253.81] 他们就跟这还是那个举例
[3253.81-3254.49] 就跟跳舞一样
[3254.49-3255.31] 他爽
[3255.31-3257.59] 他解决你的人性
[3257.59-3260.87] 内部的多巴胺的爆棚式分泌
[3260.87-3261.69] 他就是爽
[3261.69-3264.91] 所以多次配合
[3264.91-3266.41] 不要寄希望于
[3266.41-3267.41] 避其功于一役
[3267.41-3269.25] 说了我今天看完老王的节目
[3269.25-3269.87] 好
[3269.87-3271.41] 我就是18万5亿
[3271.41-3272.43] 样样精通
[3272.43-3273.83] 今儿晚上我就换一个人
[3273.83-3274.27] 不可能
[3274.27-3276.69] 所以你要慢慢的去摸索
[3276.69-3278.99] 慢慢的去掌握
[3278.99-3281.03] 这个W123说的对
[3281.03-3282.29] 不要信AV
[3282.29-3283.99] AV公司是讲绩效的
[3283.99-3286.05] AV公司是讲商业效益的
[3286.05-3288.43] 所以你不要以为AV公司是老王
[3288.43-3289.63] 这种就是这种
[3289.63-3291.87] 就是手把手交给你的教育频道
[3291.87-3292.51] 他不是
[3292.51-3293.79] 他不是性教育频道
[3293.79-3295.63] 他是讲效益
[3295.63-3297.87] 他是为了打手枪的时候
[3297.87-3298.43] 卖的快
[3298.43-3299.83] 就是虚线的效益
[3299.87-3302.33] 所以他不会告诉你真的东西
[3302.33-3303.77] 他是就这么讲
[3303.77-3304.93] 你学武功
[3304.93-3307.55] 你能跟着跟着武打片学吗
[3307.55-3308.77] 你看了几次少林寺
[3308.77-3309.71] 然后你就会了吗
[3309.71-3310.83] 你不可能
[3310.83-3313.97] 他就是等着就是给你看的最最好看的
[3313.97-3316.25] 最花儿不识的东西
[3316.25-3318.89] 所以必须是功夫师傅教你
[3318.89-3319.63] 你才能练出来
[3319.63-3322.31] 上日上了一台实操才练出来
[3322.31-3324.19] 功夫师傅教给你透了之后
[3324.19-3326.15] 你还得上了一台去实操去
[3326.15-3327.41] 谁就挨打打
[3327.41-3329.39] 然后最后你才功夫提高
[3329.39-3330.51] 这是一样的道理
[3330.51-3332.05] 不是说今天看完之后
[3332.05-3332.85] 明天我操
[3332.85-3334.13] 我就打遍天下无敌手
[3334.13-3335.41] 那是不可能的
[3335.41-3338.81] 所以随着双方的熟悉
[3338.81-3341.57] 尤其是女性熟悉了自己的高潮
[3341.57-3343.43] 女性好多女性
[3343.43-3345.61] 中国女性就是好多没见过高潮
[3345.61-3347.93] 如果他找到了高潮之后
[3347.93-3351.67] 他也有一个逐渐适应和加快进度的过程
[3351.67-3354.05] 你开始第一次让女孩高潮是最难的
[3354.05-3357.11] 之后他自己也知道这个位置我就可以很快高潮
[3357.11-3358.57] 他也建立了信心
[3358.57-3359.33] 好多好多
