[0.00-1.52] 下一位 这个特别有意思
[1.56-3.36] 我就把他的信整个念一下
[2152.16-2154.72] 中国人特别缺这方面想法
[2154.72-2156.40] 你像好莱坞一个名演员
[2156.40-2158.64] 刘思慕就是上汽的演员
[2158.64-2161.20] 他妈就是他爸告知逼着他
[2161.20-2162.68] 让他学计算机
[2162.68-2164.48] 最后把他都快弄疯了
[2164.48-2165.44] 30多岁了
[2165.44-2166.04] 处理不好
[2166.04-2166.72] 跟父母的关系
[2166.72-2169.04] 直到成了好莱坞一线的华裔演员
[2169.04-2170.24] 这才有点面子
[2170.24-2172.60] 但是直到现在都快40岁了
[2172.60-2174.08] 睡觉还都被惊醒
[2174.08-2175.68] 因为他妈又要打他手板
[2175.68-2176.60] 让他好好学习
[2176.60-2178.68] 就是去考什么会计师
[2178.80-2180.44] 什么谷歌
[2180.80-2181.76] 去做程序员
[2181.76-2182.28] 就是
[2184.52-2186.32] 华人必须成为主流
[2186.32-2187.24] 否则的话
[2187.40-2190.00] 集中营离我们只有一步之遥
[2190.52-2191.40] 因为你是费拉
[2191.72-2192.64] 必须忘记费拉
[2192.64-2193.80] 所以当警察挺好的
[2193.80-2194.80] 当警察当律师
[2194.80-2195.92] 这条道走得通
[2195.92-2196.76] 金融别想了
[2196.76-2198.28] 投资银行不是你们这
[2198.60-2200.00] 不是你们这些人玩的
[2200.04-2200.52] 嗯
[2201.76-2202.60] 今天就这样吧
[2202.60-2203.72] 先这样好吧
[2203.84-2206.08] 祝大家过一个好的周末
[2206.08-2206.88] 再见
