[7.73-11.19] 又要到饭了 兄弟们 又要到饭了 兄弟们
[11.19-15.87] 今天又到我们的心理按摩时间
[2494.32-2496.32] 后来在当地读了计算机本科
[2496.32-2497.32] 现在是程序员
[2497.32-2499.32] 我对现在的生活很满意
[2499.32-2500.32] 以前没有钱的时候
[2500.32-2503.32] 我就是靠在大学里面做助教赚钱的
[2503.32-2504.32] 另外说一句
[2504.32-2508.32] 在国外给人补习数学很赚钱
[2508.32-2511.32] 高中大学都缺教数学的
[2511.32-2514.32] 我们市政府还有专门的数学课后辅导班
[2514.32-2517.32] 在图书馆或者成人高中里帮人讲数学
[2517.32-2519.32] 很轻松就能赚到钱
[2519.32-2520.32] 因为不是数学老师
[2520.32-2521.32] 要求也不高
[2521.32-2524.32] 建议有需要的网友可以试一试
[2524.32-2525.32] 我在读书期间
[2525.32-2527.32] 认识了我的计算机机
[2527.32-2528.32] 系的学长
[2528.32-2530.32] 有一阵子我签证出问题
[2530.32-2532.32] 我跟他说我们赶紧结婚吧
[2532.32-2534.32] 这样我就可以专心的工作和学习
[2534.32-2537.32] 不要天天浪费在移民局上了
[2537.32-2538.32] 我很感谢他的善良
[2538.32-2540.32] 我们现在就结婚了7年了
[2540.32-2543.32] 真的没有想到一下子就过了7年
[2543.32-2545.32] 虽然我们当时都是穷学生
[2545.32-2547.32] 婚礼只花了人民币5000元
[2547.32-2549.32] 在市政厅随便办了一个
[2549.32-2551.32] 但是这似乎没有影响我们的感情
[2551.32-2554.32] 你看这个孩子多成功啊
[2554.32-2556.32] 他也是空间转移造成了
[2556.32-2557.32] 他爸妈
[2557.32-2559.32] 他家庭条件非常好
[2559.32-2561.32] 但是就是不帮他
[2561.32-2563.32] 逼着他本来是可以不做穷学生的
[2563.32-2564.32] 变成了一个穷学生
[2564.32-2566.32] 但是空间转移了以后
[2566.32-2567.32] 人的命运就会发生改变
[2567.32-2569.32] 他并没有受实质性的影响
[2569.32-2571.32] 虽然爸爸妈妈拆台
[2571.32-2573.32] 但是并没有拆倒他的台
[2573.32-2576.32] 他的台该起来还是起来了
[2576.32-2578.32] 下面说说我的困惑
[2578.32-2579.32] 我已经入籍
[2579.32-2581.32] 最近准备办中国签证
[2581.32-2582.32] 去看家人朋友
[2582.32-2583.32] 但是父母很怕
[2583.32-2584.32] 天天说怕
[2584.32-2586.32] 我因为是外国人的身份
[2586.32-2588.32] 影响他们的养老金
[2588.32-2590.32] 甚至还要让我不要申请中国签证
[2590.32-2592.32] 以免他们单位查出来
[2592.32-2594.32] 这些年他们时不时拿着单位的表格
[2594.32-2595.32] 让我写
[2595.32-2596.32] 我基本全胡写
[2596.32-2599.32] 我自从大学毕业误逆父母后
[2599.32-2601.32] 就再也不是那个乖乖女了
[2601.32-2603.32] 我和他们说我要不去办签证
[2603.32-2605.32] 但是我不要他们出邀请信
[2605.32-2606.32] 总可以了吧
[2606.32-2609.32] 但是他们就是那种体制内胆小怕事的性格
[2609.32-2612.32] 甚至在中国链接个VPN都害怕的那种
[2612.32-2613.32] 他们说
[2613.32-2615.32] 现在体制内各种要申报
[2615.32-2616.32] 这样的海外关系
[2616.32-2617.32] 他们很怕
[2617.32-2619.32] 他们一定还没有说你是海外的
[2619.32-2620.32] 是吧
[2620.32-2623.32] 我让他们拿着国内的钱赶紧走
[2623.32-2625.32] 但是他们就是惦记那点养老金和社保
[2625.32-2626.32] 怎么说都没用
[2626.32-2628.32] 我很想请教您
[2628.32-2630.32] 面对中国体制内这种抽风一样的
[2630.32-2631.32] 天天填榜登记
[2631.32-2632.32] 我们该怎么办
[2632.32-2635.32] 一方面我不想让国内知道我的情况
[2635.32-2636.32] 另一方面父母又胆小
[2636.32-2638.32] 怕欺骗组织
[2638.32-2639.32] 另外还想请教
[2639.32-2640.32] 如何让父母明白
[2640.32-2642.32] 他们所信仰的养老金和社保
[2642.32-2643.32] 不是那么可靠呢
[2643.32-2645.32] 父母对组织的命运
[2645.32-2648.32] 真的让我觉得他们没有为未来做一点准备
[2648.32-2650.32] 最后谢谢你这些日子陪伴
[2650.32-2652.32] 你是我们家厨房和车里的背景音
[2652.32-2654.32] 每天陪我做饭开车
[2654.32-2655.32] 谢谢你
[2655.32-2656.32] 我不会骂你的
[2656.32-2657.32] 我没什么理由骂你
[2657.32-2660.32] 你自己靠打拼出来
[2660.32-2663.32] 跟你老公两个人恩爱的在欧洲
[2663.32-2664.32] 多好啊
[2664.32-2665.32] 我有什么理由骂你
[2665.32-2666.32] 我有什么资格骂你呢
[2666.32-2669.32] 但是我觉得我应该骂你父母
[2669.32-2672.32] 你父母是精致的马基雅维利主义者
[2672.32-2674.32] 就是精致的利己主义者
[2674.32-2675.32] 这是最重要的
[2675.32-2677.32] 这种小地方来的
[2677.32-2681.32] 这种到了国家机关的这种小公务员
[2681.32-2684.32] 真的是符合世界各国名著
[2684.32-2687.32] 关于小公务员的那种自私
[2687.32-2689.32] 那种又怕担风险
[2689.32-2692.32] 又怕有了好处落了自己的那种猥琐
[2692.32-2694.32] 就在你父母身上淋漓尽致
[2694.32-2697.32] 所以我劝你两句话
[2697.32-2698.32] 第一呢
[2698.32-2702.32] 你不要垫着你父母的钱和你父母的资产
[2702.32-2704.32] 就是你父母的资产和你父母的钱
[2704.32-2707.32] 你就在你脑子里做个切割
[2707.32-2709.32] 就像你出来的时候没垫着他们的钱
[2709.32-2711.32] 你自己能搭出来自己的小家一样
[2711.32-2713.32] 未来你就是他们百年之后
[2713.32-2714.32] 你也不要垫着了
[2714.32-2716.32] 这样你就放下了
[2716.32-2718.32] 他们北京的钱爱贬值不贬值
[2718.32-2721.32] 他们北京的房子爱贬值不贬值
[2721.32-2723.32] 跟你没有关系
[2723.32-2725.32] 能给你那是上帝给你掉了个馅饼
[2725.32-2726.32] 砸你脑子上了
[2726.32-2729.32] 不给你那是应该的
[2729.32-2731.32] 交回给上帝交回给国家
[2731.32-2732.32] 交回给体制
[2732.32-2733.32] 这是应该的
[2733.32-2734.32] 放下
[2734.32-2735.32] 所以这样的话呢
[2735.32-2737.32] 在金钱上在物质上
[2737.32-2740.32] 你就不用纠结你父母是不是迷信了
[2740.32-2741.32] 人家迷信
[2741.32-2742.32] 你都知道他们是迷信
[2742.32-2744.32] 迷信的人能迷途知返吗
[2744.32-2746.32] 如果能迷途知返
[2746.32-2748.32] 他就不叫迷信了
[2748.32-2751.32] 你看看那些练邪教功夫的
[2751.32-2754.32] 多少把身家性命捐给邪教的
[2754.32-2756.32] 生了病真的不吃药呢
[2756.32-2758.32] 最后病死都不怪邪教本身
[2758.32-2760.32] 都要怪自己没有练好
[2760.32-2761.32] 没有练到位的
[2761.32-2763.32] 你父母是一样的
[2763.32-2766.32] 所以你就你不要寄希望
[2766.32-2769.32] 你能劝服一个七八十岁的人
[2769.32-2770.32] 这是不可能的
[2770.32-2772.32] 第二个给你的建议呢
[2772.32-2775.32] 就是你回去看望你父母的执念
[2775.32-2776.32] 你要放下
[2776.32-2778.32] 人一定要放下执念
[2778.32-2779.32] 你这个执念太强了
[2779.32-2781.32] 你总觉得你是个孝女
[2781.32-2782.32] 你要看看
[2782.32-2784.32] 其实他们把你当子女了吗
[2784.32-2785.32] 他们其实只是
[2785.32-2788.32] 你只是他们快乐过程中的一个副产品
[2788.32-2791.32] 或者甚而你只是他们完成
[2791.32-2792.32] 他们那个
[2792.32-2795.32] 政治利己主义的社会角色的一个必然
[2795.32-2797.32] 必须有的装饰品
[2797.32-2800.32] 就是必须结婚必须有孩子
[2800.32-2802.32] 他们才是这个社会上的
[2802.32-2804.32] 被认同的这个一员
[2804.32-2806.32] 所以孩子对他们来说
[2806.32-2808.32] 家庭对他们来说
[2808.32-2809.32] 是一个装饰品
[2809.32-2810.32] 是个装饰品
[2810.32-2813.32] 项链手桌装饰品
[2813.32-2814.32] 手表
[2814.32-2816.32] 所以你就是手表装饰品
[2816.32-2819.32] 你不要把自己偶像包袱弄太强
[2819.32-2820.32] 卧槽你是个人类
[2820.32-2821.32] 卧槽你要去回复回复
[2821.32-2823.32] 回去看望他们
[2823.32-2824.32] 你快得了吧
[2824.32-2825.32] 人家不需要你看望
[2825.32-2827.32] 人都怕你连累自己
[2827.32-2829.32] 在人家眼里你他们就是个艾滋病
[2829.32-2830.32] 你回来干嘛你
[2830.32-2831.32] 你给我们传上了呢
[2831.32-2832.32] 所以呢这事吧
[2832.32-2833.32] 你也就别太傻了
[2833.32-2835.32] 你不靠他们的邀请信
[2835.32-2837.32] 能办下来中国签证
[2837.32-2838.32] 你愿意回去看看
[2838.32-2839.32] 回去看看
[2839.32-2840.32] 他们不愿意让你回去看看
[2840.32-2843.32] 你潜入回去偷偷看一眼
[2843.32-2844.32] 如果他们真不愿意
[2844.32-2845.32] 你就少看
[2845.32-2846.32] 或者别看了
[2846.32-2847.32] 等过了这个劲再说
[2847.32-2849.32] 那个风劲过去再说
[2849.32-2851.32] 明朗了再说也不错
[2851.32-2856.68] 就这么两个建议吧
[2856.68-2857.68] 王大哥您好
[2857.68-2859.68] 今年初刚刚follow您
[2859.68-2862.68] 把您的过往视频看了一些受益匪浅
[2862.68-2865.68] 谢谢您这么真诚的分享人生的经验
[2865.68-2866.68] 我已入籍北欧
[2866.68-2868.68] 工作轻松收入OK
[2868.68-2869.68] 生活单纯快乐
[2869.68-2870.68] 除了冷
[2870.68-2872.68] 好像我也没啥抱怨的
[2872.68-2873.68] 我是学术圈出身
[2873.68-2875.68] 不过现在不搞学术了
[2875.68-2880.68] 因为对学术却窃媚了
[2880.68-2883.68] 最近看到这么一篇稻文
[2883.68-2884.68] 夫妻两人都是学术
[2884.68-2889.68] 妻子为了丈夫辞了香港的教职到了美国
[2889.68-2891.68] 又没办法找到教职
[2891.68-2896.68] 而丈夫走TENURE天牛
[2896.68-2898.68] 我们都因以为天牛
[2898.68-2899.68] 这条路不太顺
[2899.68-2900.68] 后来得了癌症
[2900.68-2901.68] 最近辞世
[2901.68-2904.68] 妻子写了一篇爱恨交织的稻文
[2904.68-2905.68] 读了之后
[2905.68-2906.68] 我的心情很复杂
[2906.68-2907.68] 一时三观混乱
[2907.68-2909.68] 没想好该怎么重建
[2909.68-2911.68] 然后他给了我一个链接
[2911.68-2913.68] 我一会贴出来
[2913.68-2915.68] 我还没看他这个稻文
[2915.68-2918.68] 文章名免怀小红
[2918.68-2919.68] 陈朗
[2919.68-2922.68] 请君重作醉歌行
[2922.68-2924.68] 这个逝世的青年学者化疗的时候
[2924.68-2927.68] 还在惦念着没发的论文
[2927.68-2928.68] 书呆子
[2928.68-2929.68] 都他妈化疗了
[2929.68-2932.68] 还惦念着没发的论文
[2932.68-2934.68] 一会我再骂吧
[2934.68-2936.68] 这他妈是读书读啥了
[2936.68-2937.68] 虽然他死了
[2937.68-2939.68] 我也不会给他留面子
[2939.68-2942.68] 让我觉得有些魔幻又能理解他
[2942.68-2945.68] 但是对妻子在生活上的隐情剥夺
[2945.68-2948.68] 又让我没法特别同情他
[2948.68-2950.68] 而对写稻文的妻子本身
[2950.68-2951.68] 我也觉得很惋惜
[2951.68-2953.68] 为了丈夫献祭了自己
[2953.68-2955.68] 学术圈也是个传销游戏
[2955.68-2957.68] 导师剥削学生
[2957.68-2959.68] 有家庭的一方事业有成
[2959.68-2961.68] 也离不开家庭成员的奉献
[2961.68-2965.68] 为了这个虚幻的学术值得吗
[2965.68-2968.68] 更别提好多研究其实很没有意义
[2968.68-2970.68] 向您一直强调的观点
[2970.68-2971.68] 选择大于努力
[2971.68-2973.68] 选择进入学术圈
[2973.68-2976.68] 就要接受这个胜败特别两极化的圈子规则
[2976.68-2979.68] 个人的努力对比学术派别或人脉
[2979.68-2980.68] 显得轻微的多
[2980.68-2982.68] 这个规则在学术圈也都适用吧
[2982.68-2984.68] 我的求学过程还算顺利
[2984.68-2986.68] 国内读名校之类的
[2986.68-2989.68] 就是他因为出国读的
[2989.68-2994.68] 所以他没有成功的回国当一个教授
[2994.68-2996.68] 知名大学的教授
[2996.68-2998.68] 他本来的人生第一目标去当一个
[2998.68-3000.68] 国内的教授的
[3000.68-3001.68] 但是现在
[3001.68-3003.68] 比他学习糟糕的人已经完成了这个目标
[3003.68-3007.68] 而他只能在北欧了
[3007.68-3009.68] 他觉得心里有落差
[3009.68-3013.68] 你说他也是读书读傻了
[3013.68-3014.68] 心里有点病了
[3014.68-3016.68] 但是他在自省
[3016.68-3018.68] 因为他看了老王的视频
[3018.68-3020.68] 所以他还有救
[3020.68-3022.68] 那个得了癌症的和那个
[3022.68-3024.68] 得癌症的那个人的老婆是
[3024.68-3026.68] 可能估计是没救了
[3026.68-3030.68] 王大哥
[3030.68-3031.68] 我如果天真的回国了
[3031.68-3032.68] 没有人脉
[3032.68-3033.68] 找不到工作
[3033.68-3035.68] 存疑
[3035.68-3041.68] 可能现在不知道是不是要面对非生即走的魔咒呢
[3041.68-3043.68] 霍胡指的是几年内没发表论文
[3043.68-3045.68] 搞项目基金升职
[3045.68-3046.68] 就要被高校辞退
[3046.68-3047.68] 当然是了
[3047.68-3048.68] 你以为你是谁
[3048.68-3049.68] 你回国
[3049.68-3052.68] 你现在就不是既快乐又轻松的北欧生活了
[3052.68-3054.68] 你肯定混不进去的
[3054.68-3056.68] 我不混学术圈了
[3056.68-3057.68] 焦虑和烦恼都少了很多
[3057.68-3059.68] 但是对学术圈的窃媚
[3059.68-3061.68] 我还没有完成
[3061.68-3063.68] 没能把自己头衔换个professor
[3063.68-3066.68] 总觉得好像有些遗憾啊
[3066.68-3067.68] 我知道
[3067.68-3069.68] 霍胡干辙不能两头填
[3069.68-3071.68] 不能寄药还要
[3071.68-3072.68] 但是啊
[3072.68-3073.68] 就是夜深人静的时候
[3073.68-3075.68] 还是会纠结一下
[3075.68-3077.68] 你是有病啊你
[3077.68-3078.68] 王大哥三观稳定
[3078.68-3079.68] 又事事动明
[3079.68-3081.68] 很希望你有空来点播一下
[3081.68-3083.68] 未能完全窃媚的我
[3083.68-3085.68] 能在节目里说几句
[3085.68-3087.68] 让更多人听见就好了
[3087.68-3088.68] 我想
[3088.68-3089.68] 不少留在韩国
[3089.68-3090.68] 海外的高知人群
[3090.68-3093.68] 可能有类似易南平的心态吧
[3093.68-3095.68] 有画面感的描述
[3095.68-3097.68] 就是某985大学文科教授
[3097.68-3099.68] 出国了只能开出租这样的
[3099.68-3102.68] 虽然至少在北欧开出租不丢人
[3102.68-3105.68] 您对忠实观众谢谢王哥
[3105.68-3107.68] 我开骂了啊
[3107.68-3108.68] 准备好啊
[3108.68-3110.68] 抹好你的头皮
[3110.68-3112.68] 你们这帮高知分子
[3112.68-3113.68] 所谓的独到博士
[3113.68-3116.68] 你们一个一个百无一用是书生
[3116.68-3118.68] 虽然我也是书生
[3118.68-3120.68] 我也是在大学里面出来的
[3120.68-3122.68] 但是我太清楚
[3122.68-3125.68] 大学里面出来的这些所谓的教职的这些人
[3125.68-3126.68] 有多么的虚伪
[3126.68-3127.68] 多么的无能
[3127.68-3129.68] 多么的傻逼
[3129.68-3130.68] 对这个社会
[3130.68-3132.68] 对这个世界的贡献
[3132.68-3134.68] 有多么的微不足道
[3134.68-3136.68] 又整天把自己当他们一根葱
[3136.68-3138.68] 猪鼻子插大象
[3138.68-3141.68] 猪鼻子插大葱妆相
[3141.68-3145.68] 能够真的务实的为社会做点贡献
[3145.68-3147.68] 哪怕你是开出租车
[3147.68-3150.68] 都比你在那个学术的腐败圈子里面
[3150.68-3151.68] 混日子强得多
[3151.68-3153.68] 你们真正能够学以致用的
[3153.68-3154.68] 改变人类社会的
[3154.68-3156.68] 犹有几个
[3156.68-3159.68] 大部分说实在的不是
[3159.68-3161.68] 蝇蝇狗狗的寄生虫吗
[3161.68-3167.05] 别人我不批判我
[3167.05-3168.05] 我批判批判我自己
[3168.05-3169.05] 这样总行了
[3169.05-3173.05] 在我刚刚从大学出来
[3173.05-3175.05] 进入到国家机关
[3175.05-3177.05] 那个时候二十四五岁
[3177.05-3179.05] 还有机会
[3179.05-3182.05] 像没有像你用的窃妹的这个词
[3182.05-3184.05] 没有窃妹的时候
[3184.05-3187.05] 还有机会去什么社科院读研读博呀
[3187.05-3191.05] 什么在进修啊
[3191.05-3194.05] 这条路摆在面前的时候呢
[3194.05-3197.05] 我当时做了这么一个选择
[3197.05-3201.05] 我决定去学潜水
[3201.05-3203.05] 2000年还是99年
[3203.05-3204.05] 我忘了99年
[3204.05-3207.05] 1999年哥们大老王24岁
[3207.05-3209.05] 在他们北京要学潜水
[3209.05-3211.05] 你们觉得我是不是有病啊
[3211.05-3213.05] 我告诉你我一点病都没有
[3213.05-3215.05] 因为我当时就要
[3215.05-3217.05] 偷发气象走出我的舒适圈
[3217.05-3220.05] 我要看一看另一个世界
[3220.05-3222.05] 我当时就是真的很单纯
[3222.05-3224.05] 就他妈要到饭了弟兄们
[3224.05-3225.05] 干就完了弟兄们
[3225.05-3227.05] 我要看看水下的
[3227.05-3229.05] 非人类的世界到底是什么样了
[3229.05-3231.05] 这就是我典型的
[3231.05-3233.05] 唯一冲动
[3233.05-3234.05] 我本来是想学飞行嘛
[3234.05-3236.05] 我本来想去飞着俱乐部
[3236.05-3238.05] 我想体验一下鸟的感觉
[3238.05-3240.05] 后来我不是在人民医院门口
[3240.05-3241.05] 看见两个摔断了腿的
[3241.05-3243.05] 飞人俱乐部的年轻人走出来
[3243.05-3245.05] 我就改变主意
[3245.05-3247.05] 要不然我估计落在天安门广场的
[3247.05-3248.05] 不是高幸哲
[3248.05-3249.05] 就是王继洲
[3249.05-3251.05] 我干得出来这个事
[3251.05-3255.05] 所以我就去北京龙原潜水俱乐部
[3255.05-3256.05] 跟王刚
[3256.05-3257.05] 今天叫王亦坤的
[3257.05-3258.05] 也是北京哥们
[3258.05-3260.05] 我就学了潜水
[3260.05-3261.05] 学了潜水
[3261.05-3262.05] 第一次野外潜水
[3262.05-3264.05] 在上庄水库
[3264.05-3265.05] 在昌平上庄
[3265.05-3267.05] 我自由潜下去之后
[3267.05-3268.05] 看到那个鱼
[3268.05-3269.05] 水底的鱼
[3269.05-3271.05] 一排一排的荧光闪闪
[3271.05-3273.05] 从我面前游过
[3273.05-3275.05] 虽然那是个水库
[3275.05-3279.05] 但是我已经就是太兴奋了
[3279.05-3281.05] 我背着氧气瓶
[3281.05-3282.05] 我背着空气瓶
[3282.05-3283.05] 不是氧气瓶说法
[3283.05-3284.05] 背着空气瓶
[3284.05-3285.05] 头朝下
[3285.05-3287.05] 屁股朝上
[3287.05-3290.05] 做一个打坐的姿势
[3290.05-3292.05] 贴在水面上
[3292.05-3294.05] 倒立着打坐
[3294.05-3296.05] 就是你如果头朝下
[3296.05-3297.05] 大家可以画面
[3297.05-3298.05] 照顾一下
[3298.05-3299.05] 看我
[3299.05-3300.05] 我是坐在水面打坐的
[3300.05-3302.05] 但其实我是头朝下
[3302.05-3303.05] 背着气瓶
[3303.05-3304.05] 叼着气嘴
[3304.05-3307.05] 闭着眼睛打坐
[3307.05-3308.05] 我就是体验
[3308.05-3311.05] 我从来没有体验过的人生感悟
[3311.05-3314.05] 这个我觉得我值了
[3314.05-3316.05] 比我读个硕士博士值
[3316.05-3317.05] 然后当我去大连
[3317.05-3318.05] 当我出海
[3318.05-3319.05] 去海浅
[3319.05-3320.05] 真正海浅的时候
[3320.05-3321.05] 看到的海底世界
[3321.05-3325.05] 如何的丰富我的人生体验
[3325.05-3327.05] 给我长的知识
[3327.05-3328.05] 开阔的眼界
[3328.05-3329.05] 不比我去
[3329.05-3330.05] 他们社科院读完
[3330.05-3334.05] 那个破硕士要强太多了吗
[3334.05-3335.05] 并不比我去
[3335.05-3338.05] 再继续考试强太多了吗
[3338.05-3340.05] 去考试学那些东西
[3340.05-3342.05] 都是我自己不信的
[3342.05-3344.05] 写那本书的人也不信
[3344.05-3346.05] 那么他们研究生的教材
[3346.05-3347.05] 15章
[3347.05-3349.05] 居然是五个人写的
[3349.05-3351.05] 那个作者有五个人那个教材
[3351.05-3353.05] 而且因为这五个傻逼
[3353.05-3356.05] 各自分的一两章
[3356.05-3358.05] 所以用的名词
[3358.05-3361.05] 和翻译过来的那个译名都不一样
[3361.05-3362.05] 就这么粗糙
[3362.05-3364.05] 这是中国社科院干的事
[3364.05-3367.05] 我把这个时间浪费在那个上面
[3367.05-3369.05] 得到那个勋章有什么用呢
[3369.05-3372.05] 还不如我去探索一下
[3372.05-3374.05] 我未知的世界
[3374.05-3376.05] 我不如我好好的学学英语
[3376.05-3378.05] 我看看西方的读物
[3378.05-3380.05] 西方的杂志
[3380.05-3381.05] 哪怕是龙虎报
[3381.05-3382.05] 不是龙虎报
[3382.05-3383.05] 哪怕花花公子
[3383.05-3384.05] 格楼
[3384.05-3385.05] panhouse
[3385.05-3387.05] 都比那个东西有用
[3387.05-3391.36] 我至少看到了我不知道的世界
[3391.36-3394.36] 这就是必须走出舒适圈
[3394.36-3397.36] 必须转换你思维的重要所在
[3397.36-3399.36] 对你的人生之路
[3399.36-3402.36] 对你看破这个世界的迷障
[3402.36-3404.36] 非常有用
[3404.36-3406.36] 英语给你提供工具
[3406.36-3409.36] 而跳到你完全不了解的环境去
[3409.36-3410.36] 勇敢的干吧
[3410.36-3411.36] 就是了兄弟们
[3411.36-3414.36] 我从来没有考虑过
[3414.36-3416.36] 我淹死了怎么办
[3416.36-3418.36] 我是不是大好前程尽毁
[3418.36-3419.36] 我学不会怎么办
[3419.36-3423.36] 我在水底下空气瓶里面没空气了怎么办
[3423.36-3425.36] 我从来不会考虑那么多东西
[3425.36-3426.36] 明白吧
[3426.36-3428.36] 我才有25岁
[3428.36-3430.36] 那么好的人生体验
[3430.36-3434.36] 我曾经有一次转机在台北桃园机场
[3434.36-3436.36] 我当时规划了一个最快的路线
[3436.36-3439.36] 通过台北桃园机场转机最快
[3439.36-3441.36] 但是我没有台湾签证
[3441.36-3443.36] 因为台湾签证
[3443.36-3446.36] 你要去台北台湾中华民国外交部
[3446.36-3447.36] 直接申请
[3447.36-3449.36] 24个小时之内会给你
[3449.36-3451.36] 他承诺24小时会给你
[3451.36-3454.36] 但是我保不齐他会不会给我
[3454.36-3460.36] 因为我没有及时续签我国内的港澳台包通行证
[3460.36-3462.36] 就是中国那套东西我没有
[3462.36-3465.36] 但是从中华民国那边申请更快
[3465.36-3467.36] 我就从中华民国申请了之后
[3467.36-3468.36] 我买了张飞机票
[3468.36-3470.36] 我就直接飞台北转机去了
[3470.36-3474.36] 如果中华民国没有批下来
[3474.36-3475.36] 我那就傻逼了
[3475.36-3478.36] 我得原飞机飞回去
[3478.36-3479.36] 我的意思是什么
[3479.36-3480.36] 为了追求效率
[3480.36-3483.36] 我必须见到那个投资人
[3483.36-3485.36] 他当时在一个小岛上度假
[3485.36-3490.15] 我必须尽快的飞过去
[3490.15-3492.15] 这时候我要承担风险
[3492.15-3494.15] 我粗略评估一下
[3494.15-3496.15] 我想第一我很lucky
[3496.15-3498.15] 我没有那么不lucky
[3498.15-3499.15] 我应该很幸运
[3499.15-3501.15] 第二台湾中华民国外交部
[3501.15-3503.15] 应该还是比较敬业的
[3503.15-3505.15] 他们说24个小时
[3505.15-3507.15] 他们应该就能做到24个小时
[3507.15-3509.15] 我填了表就去了
[3509.15-3512.15] 之后我就在飞机和贵宾厅里面度过了
[3512.15-3514.15] 果不其然我到了
[3514.15-3515.15] 我email就收到了
[3515.15-3516.15] 电子表格
[3516.15-3519.15] 我在机场随便找了个打印机打出来
[3519.15-3521.15] 我上哪找打印机
[3521.15-3523.15] 我就在台北机场
[3523.15-3525.15] 任何一个服务台
[3525.15-3526.15] 我已经忘了是哪个
[3526.15-3528.15] 长荣航空还是中华航空服务台了
[3528.15-3530.15] 我就说请帮我把这个打出来
[3530.15-3531.15] 谢谢
[3531.15-3532.15] 我必须得打
[3532.15-3533.15] 因为我现在没有打印机
[3533.15-3535.15] 我这个是台湾签证
[3535.15-3536.15] 我得换一下飞机
[3536.15-3537.15] 我得过
[3537.15-3539.15] 另一个候机楼去换飞机
[3539.15-3541.15] 所以我得出关再进关
[3541.15-3545.62] 给我打了
[3545.62-3546.62] 非常热情
[3546.62-3548.62] 没有遇到任何问题
[3548.62-3551.62] 我不用做缜密的安排
[3551.62-3553.62] 如果你的人生都在做缜密的安排
[3553.62-3555.62] 你人生还有什么意义
[3555.62-3557.62] 你就犯了哲学上的什么错误
[3557.62-3559.62] 存在的错误
[3559.62-3561.62] 就是你的存在究竟是一个人
[3561.62-3563.62] 你作为一个本体
[3563.62-3565.62] 存在在这个世界上是真相
[3565.62-3568.62] 还是你只是一个大规模的人类
[3568.62-3572.62] 是人类虚拟存在的一部分作为真相
[3572.62-3575.62] 我认为显然你是第二种情况
[3575.62-3577.62] 所以你为什么要把你作为主角
[3577.62-3580.62] 在舞台上存在作为真相呢
[3580.62-3583.62] 你他妈连主角连主角的鼻屎都不是
[3583.62-3586.62] 所以你就跟着大六走就行了
[3586.62-3588.62] 大部分时间你只要坐对了电梯
[3588.62-3590.62] 你就上去了
[3590.62-3592.62] 你想那么多干急忙忙
[3592.62-3594.62] 在电梯门口还在那按计算机
[3594.62-3597.62] 等他妈你按完了电梯都没了
[3597.62-3602.62] 所以这个读书读多了真的是没有屌用
[3602.62-3605.62] 所以这就是我个人的一些
[3605.62-3608.62] 今天抛砖引玉我的一些经验
[3608.62-3612.62] 就是我并不是你们想象中做事那么严谨严密的
[3612.62-3614.62] 当我认定一个东西的时候
[3614.62-3616.62] 我会把它学的透透的熬夜
[3616.62-3617.62] 干到晚上三点
[3617.62-3619.62] 一直把它学通了为止
[3619.62-3623.62] 但是当我进行人生方向的选择的时候
[3623.62-3625.62] 我只是大便摸个插不离
[3625.62-3627.62] 我就勇敢的往前出发了
[3627.62-3630.62] 在路上行动吧弟兄们
[3630.62-3632.62] 到时候再说
[3632.62-3634.62] 想那么多呢
[3634.62-3635.62] 你想得明白吗
[3635.62-3636.62] 人算不如天算
[3636.62-3637.62] 你以为你是谁
[3637.62-3641.62] 所以真的就是话操理不操
[3641.62-3644.62] 所以今天又过时间了
[3644.62-3645.62] 先这样
[3645.62-3648.62] 大家点赞订阅支持小铃铛
[3648.62-3650.62] 我们明天接着聊
[3650.62-3652.62] 我们争取一天多耿
[3652.62-3654.62] 我操我拼一下
[3654.62-3655.62] 把我作业念完
[3655.62-3656.62] 我作业没念完
[3656.62-3658.62] 今天打出来才念了一半
[3658.62-3660.62] 再见
