[1.65-3.33] 哈喽 大家好
[3.33-6.13] 这两天我被一个新闻吸引
[2544.71-2545.43] 谁负责
[2545.43-2547.35] 你他妈让李强负责吗
[2547.35-2549.39] 李强能负责得了吗
[2549.39-2549.87] 所以
[2550.95-2555.03] 这就是中国房地产的一地鸡毛的本质
[2555.03-2556.89] 没有一个好东西
[2556.89-2558.51] 从朱镕基到温家宝
[2559.73-2561.27] 到李克强
[2562.65-2565.29] 到最最无辜的反而是李强
[2566.61-2568.53] 你那三个王八蛋
[2568.53-2570.69] 前面那三个王八蛋二十多年
[2570.69-2572.31] 你们可以有所作为的时候
[2572.31-2573.23] 你们毫无作为
[2573.23-2574.27] 你们放任
[2574.71-2576.51] 这些东西在发酵
[2576.51-2578.01] 你不要告诉我你看不见
[2578.01-2580.03] 我王靖茹2010年都能写文章
[2580.03-2581.55] 告诉你这事不能这么干
[2581.55-2583.45] 必须他妈的你不会发明
[2583.45-2584.53] 你还不会抄袭吗
[2584.53-2586.05] 你们他们一直在抄袭美国
[2586.05-2586.83] 美国小谜底
[2586.83-2588.09] 你去美国买一套房子
[2588.09-2589.59] 自己不就知道怎么回事了吗
[2591.03-2591.91] 为什么不抄袭
[2591.91-2592.53] 你不去美国
[2592.53-2593.91] 你可以去香港
[2593.91-2596.25] 香港这个东西管理的也非常严谨
[2596.25-2599.11] 你可以去新加坡不去吧
[2599.11-2600.11] 为什么
[2600.11-2601.41] 你不是自己的事吗
[2602.51-2603.39] 所以这个事啊
[2603.39-2604.59] 就是这么就这么说吧
[2604.59-2605.67] 就这么回事
[2605.67-2606.03] 知道吧
[2606.03-2608.67] 整个中国人没有一个无辜的
[2608.67-2608.97] 你知道吧
[2608.97-2610.83] 雪崩之下没有雪花是无辜的
[2611.79-2612.21] 所以呢
[2612.21-2614.49] 今天亮亮和立军是个影子
[2614.49-2617.55] 小金丝雀叭叭叭一叫哈死了
[2617.55-2620.37] 下一个即将发生的就是整个矿矿难啊
[2620.37-2625.47] 现在这个管理层共产党正在赌这个矿的赌瓦斯眼赌的思路是灌水
[2625.47-2625.97] 灌水
[2628.09-2631.23] 我的结论是他能赌注保交楼是能赌注的
[2631.23-2633.99] 但是他赌不住的是未来的房地产价格的大
[2634.59-2635.67] 规模的下行
[2635.67-2636.33] 大规模下行
[2636.33-2637.29] 他也有办法啊
[2637.29-2639.93] 为什么他就是多印人民币多印人民币之后
[2639.93-2640.85] 其他物价上涨
[2640.85-2642.27] 房地产价格动在这儿
[2642.27-2642.77] 这样的话
[2642.77-2643.95] 这个问题他也解决了
[2645.11-2647.37] 债转股印人民币
[2647.37-2649.23] 这两个左手和右手
[2649.23-2650.85] 他就能把这个问题化解
[2650.85-2651.89] 但是化解之后呢
[2651.89-2655.59] 中国就会出现一个像日本一样的20年30年的空窗期
[2657.03-2658.37] 最后就又说到军事化了
[2658.37-2661.43] 他除了最后的军事化和计划经济回归管理
[2661.43-2662.91] 他通过市场经济
[2662.91-2664.59] 他除非跟美国跪地求生
[2664.59-2665.91] 不饶做寄托
[2665.91-2668.13] 他还这么高调的纪念毛岸英
[2668.13-2674.05] 纪念北朝鲜的这个这个开国民车队去运一股的话
[2674.05-2675.03] 他这种思路的话
[2675.03-2677.65] 他他过不了这关啊
[2677.65-2679.95] 整个中国的经济一片黯淡
[2679.95-2680.25] 再见
