[3.28-4.48] 哈喽 大家好
[4.48-6.20] 又到周末读信时间了
[2427.09-2429.25] 通过交易在市场稳定赚钱
[2429.25-2431.21] 能带他们赚钱的话
[2431.37-2433.33] 我觉得肯定没问题
[2433.33-2435.61] 但是就是看着他们亏损
[2435.61-2436.69] 我内心有愧疚
[2436.69-2438.65] 这哥们都可爱
[2438.69-2439.85] 这哥们开赌场的
[2441.41-2442.37] 我说的那些东西
[2442.81-2446.09] 看来我15年前干的那些东西
[2446.09-2448.09] 在中国目前还有徒子徒孙
[2448.13-2449.73] 正在蓬勃的发展
[2450.17-2452.37] 你们这些家伙也不给我专利费
[2453.33-2455.17] 我把市场拓展出来
[2455.17-2456.65] 我们是抬头兵
[2456.69-2457.29] 跑了之后
[2457.29-2458.25] 你们在中国
[2458.25-2459.21] 居然被动收入
[2459.21-2461.97] 能有一年60到80万人民币
[2461.97-2463.85] 这个收入在加拿大都是高收入
[2464.05-2465.29] 一年10多万加币
[2466.09-2468.73] 所以你不就是开赌场吗
[2468.73-2471.05] 开赌场你还就内疚了
[2471.05-2471.81] 你出不出钱
[2472.05-2473.17] 你没出钱你内疚什么
[2473.69-2474.73] 这跟你有什么关系
[2475.05-2476.93] 是他又要愿意要赌的
[2476.97-2477.73] 我操你不开
[2477.73-2478.41] 要有别人开
[2478.97-2480.25] 所以按你这个道理
[2480.41-2481.77] 何鸿生祖孙三代
[2481.77-2482.97] 那不都被雷劈的
[2483.01-2484.21] 不长屁眼生孩子
[2484.45-2486.21] 我没发现何鸿生不长屁眼
[2486.57-2488.97] 何鸿生孩子没屁眼
[2489.21-2491.29] 人家何家草家大业大
[2491.29-2492.37] 开枝散叶
[2492.65-2493.69] 为什么呢
[2494.45-2495.93] 自古以来就有偏门
[2495.93-2496.81] 有正门
[2496.85-2498.45] 你这个就属于偏门
[2498.45-2499.97] 金融行业就属于偏门
[2500.05-2501.21] 你偏门
[2501.25-2502.09] 他不怪你
[2502.09-2502.89] 偏门有一条
[2502.89-2504.25] 你别杀人越货
[2504.29-2505.53] 你别出钱
[2505.57-2507.33] 你只要按照偏门的规矩
[2507.37-2509.37] 进偏门玩来的人跟你没关系
[2509.37-2510.77] 不损你的因得
[2510.77-2511.93] 但你记住一点
[2511.97-2515.65] 你赚到的钱要拿来做善事
[2515.69-2518.53] 你看看人家澳门赌场何先生
[2518.69-2519.17] 那做赌场
[2519.17-2519.85] 多少公益
[2519.85-2520.97] 做多少善事
[2521.29-2522.77] 你比不了何先生
[2522.77-2525.13] 但是你可以做一些小规模的善事
[2525.17-2527.45] 你一年60到80万的收入
[2527.49-2529.81] 你拿出5万人民币来做善事
[2529.85-2531.93] 拿出4万5万总行了吧
[2531.97-2532.77] 7%
[2532.81-2533.49] 10%
[2533.53-2535.05] 你这不等于11税吗
[2535.25-2536.37] 教会自古以来
[2536.37-2537.65] 就是给你们定了税率
[2537.81-2539.89] 就是你的纯收入的1 1%
[2539.89-2541.01] 拿出来交税
[2541.85-2543.97] 就是买你良心的平衡
[2544.01-2546.61] 以及你将来到了阴曹地府之后
[2546.65-2548.65] 你那颗天平还是平的
[2548.65-2548.89] 你
[2548.89-2549.13] 在
[2549.13-2550.89] ,那边放点筹码
[2550.93-2552.21] 你如果不移民的话
[2552.21-2556.97] 你这个工艺
[2557.01-2558.85] 你用在什么行业
[2558.85-2559.57] 什么领域
[2559.57-2560.45] 你自己去设计
[2560.89-2562.17] 你别让人家骗了就行
[2562.61-2564.61] 你别让人收了这条智商税就行
[2566.09-2567.37] 下一个6
[2567.41-2569.17] 无意中从推特刷到你
[2569.21-2571.05] 觉得那蔚蓝色的背景
[2571.05-2572.49] 开传的头像特帅
[2572.53-2573.45] 然后就点进去了
[2573.45-2575.05] 那是一个北京大妞给我拍的
[2575.09-2576.73] 北京小伙和北京大妞
[2576.77-2577.61] 是我好朋友
[2578.05-2579.05] 我们夏天一起玩
[2579.05-2580.81] 他们俩摄影摄得特别好
[2581.73-2584.29] 关注后发现您的内容更有趣
[2584.29-2585.49] 真的有真料
[2585.53-2586.77] 一路追到了油管
[2586.77-2587.77] 每期必看
[2587.81-2589.69] 我发现您也是刘阿姨的关注者
[2589.69-2592.49] 并且您的事业和水被珠宝有交集的时候
[2592.53-2594.69] 顿时觉得时空距离无比亲近
[2594.73-2596.81] 您的视频我常反复观看
[2596.81-2598.09] 有时还会做笔记
[2598.13-2599.53] 我一路读书创业
[2599.53-2601.09] 都是自己摸石头过河
[2601.13-2605.33] 这种近距离听到野生大鳄
[2605.37-2606.41] 真是头一次
[2606.45-2608.53] 认知上真的得到了高维的提升
[2608.53-2609.01] 很多事情
[2609.01-2610.73] 从书本上学也好
[2610.73-2611.53] 自己琢磨也好
[2611.53-2613.05] 进步始终有局限
[2613.09-2614.85] 能关注到您是我的幸运
[2614.89-2616.01] 这是水贝的朋友
[2616.17-2616.89] 女朋友
[2616.93-2617.69] 女士
[2618.61-2619.57] 小我一轮
[2621.01-2622.37] 这里先表达一下感谢
[2622.37-2623.89] 接着说我自己的情况
[2623.93-2625.65] 有两个私人问题要咨询
[2625.65-2626.93] 我87年属兔
[2626.97-2628.05] 现居深圳
[2628.09-2630.05] 然后私人的我就不问了
[2630.09-2633.21] 我老公也在国内黄金行业任高管
[2640.22-2642.82] 是黄金板料买卖与黄金套利
[2642.86-2643.94] 他老公做这个
[2643.98-2645.14] 我本人是国内
[2645.14-2645.50] 985
[2645.50-2647.42] 大学毕业的工业设计专业
[2648.50-2651.38] 毕业后在外企头部工作两年
[2651.66-2653.18] 后来在水贝创业
[2653.22-2654.90] 做原创珠宝的设计
[2654.94-2657.98] 我自幼在绘画领域有充分的天分
[2657.98-2660.10] 所以从创业以来生意都很好
[2660.14-2660.94] 供不应求
[2660.94-2662.46] 圈子里边有名气
[2663.10-2665.10] 我对设计是有执念的
[2665.10-2667.18] 我想让每一粒宝石都得到最好的
[2667.18-2667.82] 运用
[2667.86-2670.34] 凡经手的产品都要做到最好
[2670.38-2672.50] 做成天长地久的百年老店
[2672.50-2673.58] 经典永续
[2674.46-2675.26] 奈何
[2675.26-2677.82] 国内大环境对知识产权没有任何保护
[2677.86-2680.46] 目前我的天分可以称我赚些快钱
[2680.50-2681.74] 但什么都不会留下
[2681.74-2683.74] 这就是我这些年创业的感想
[2684.02-2685.62] 我也向刘阿姨问过这个问题
[2685.62-2686.42] 阿姨的回答是
[2686.42-2688.38] 在挖地做一个真正的设计师
[2688.58-2690.74] 设计师维持成本太高
[2690.74-2692.54] 不符合挖地的演化策略
[2692.54-2693.38] 没有前途
[2693.50-2694.34] 我很享润
[2694.34-2697.26] 又觉得放弃国内生意和生活非常可惜
[2697.38-2698.54] 就这样子犹犹豫豫
[2698.54-2700.34] 直到今年9月发生大事
[2700.38-2702.06] 我的人生不得不改变了
[2703.93-2706.13] 我先说你的观点
[2706.13-2706.33] 吧
[2706.33-2706.49] 你
[2706.57-2707.97] 是一个成就吧
[2708.25-2709.85] 你这种人我太能理解了
[2709.85-2711.05] 因为我也是你这种人
[2711.05-2712.77] 我是金融行业的设计师
[2713.33-2714.65] 你是珠宝行业的设计师
[2714.65-2720.01] 我们都是在脑海里得到上层高维世界的灵感
[2720.05-2723.77] 并且从我们这种特别好的硬件发挥出来之后
[2723.77-2725.45] 真的想为人类做点事情
[2725.45-2726.85] 但是在国内的环境
[2726.89-2728.81] 刘阿姨说的一点都不差
[2728.85-2732.37] 真的是没有优胜劣坏劣汰的演化路径
[2732.37-2733.57] 它正是相反
[2733.61-2735.69] 它是劣胜优态的演化路径
[2735.97-2736.33] 我
[2736.33-2739.41] 提出股权分支改革的专利申请
[2739.45-2742.17] 我提出实时柜台金价
[2742.21-2743.33] 实时国际金价
[2743.33-2746.49] 柜台交易黄金的软件
[2746.49-2748.21] 金件软件专利申请
[2748.25-2749.85] 全都没有下文
[2750.85-2754.21] 全都没有人给我任何的专利保护
[2754.33-2757.41] 所以真的是最后你只能割一把韭菜走
[2757.45-2758.45] 真的是没办法
[2758.45-2759.73] 就是都是王八蛋
[2759.89-2763.01] 所以你这个体制不推翻
[2763.17-2766.29] 像你我这样的人才出国润出来
[2766.29-2766.33] 是吧
[2766.37-2766.97] 是对的
[2767.09-2770.93] 但是我们润都需要像人类的命运
[2770.93-2772.01] 它有轨道一样
[2772.01-2774.21] 都需要一个大事推动你
[2774.37-2776.53] 有个强大外力推动你
[2776.53-2779.01] 要么就是健康类的
[2779.01-2780.09] 要么就是牢狱类的
[2780.09-2781.05] 要么就是他妈的
[2781.37-2783.17] 总之就是不好的事推动你
[2783.17-2784.49] 你才能给你激出
[2784.53-2786.33] 打出你的舒适区来
[2787.09-2788.85] 所以你9月份发生这个事
[2788.89-2791.01] 我觉得是因祸得福
[2791.17-2792.01] 因祸得福
[2793.05-2794.57] 你像我认识雷伯西
[2794.57-2795.57] 你做这个行业
[2795.57-2796.17] 你一定知道
[2796.17-2797.25] 雷伯西是谁
[2797.29-2798.73] 他女儿叫盖亚雷伯西
[2798.73-2801.45] 她本身就是珠宝世家
[2801.61-2804.77] 在法属摩洛哥
[2806.13-2807.05] 他住在那
[2808.05-2808.73] 什么呢
[2808.73-2810.13] 就是一个特别有钱的
[2810.13-2812.25] 是全世界有钱免税的天堂
[2812.29-2814.81] 在地中海边上小国家
[2816.29-2817.37] 你要是想认识他
[2817.37-2818.41] 我可以给你介绍过去
[2818.41-2820.17] 那个是你们行业的No.1
[2820.37-2821.65] 他给皇帝做
[2821.65-2823.05] 就是各个皇族
[2823.05-2824.53] 日本的什么普京
[2824.69-2825.13] 戴安纳
[2825.13-2826.13] 做什么的
[2826.13-2826.97] 珠宝设计
[2827.17-2828.61] 他现在找不着继承人
[2828.61-2831.89] 因为他女儿整天跟什么范思哲
[2832.09-2837.38] 什么阿玛尼这些
[2838.26-2841.22] 这些LGBT的前沿变态老头
[2841.22-2842.14] 混在一起
[2842.14-2843.38] 变成了个同性恋
[2844.86-2848.70] 所以华人像你这样才华横溢的设计师
[2848.82-2850.50] 出来做珠宝设计
[2850.70-2852.54] 我觉得出来也可以做
[2853.38-2855.58] 你只要真有灵感
[2855.58-2856.42] 真有水平
[2856.42-2857.34] 你出来才对
[2857.38-2859.26] Alexander王
[2859.26-2859.70] 你知道吧
[2859.70-2860.74] 亚历山大王
[2861.02-2863.66] 还有设计婚纱的女的
[2863.82-2865.26] 你像你这种水水平
[2865.26-2865.86] 在纽约
[2865.86-2866.78] 在洛杉矶
[2866.78-2868.58] 我去你100%能做起来
[2869.70-2871.34] 你只要进了名人的圈子
[2871.34-2872.74] 你只要有灵感
[2872.78-2873.58] 有idea
[2873.58-2875.26] 你只要能做出来
[2875.26-2877.14] 你就不怕卖不出去
[2877.14-2879.30] 因为这儿的人多有钱
[2879.42-2880.70] 而且这儿的人他识货
[2881.14-2882.94] 所以你就真正做精品
[2882.94-2883.66] 在这边
[2883.66-2885.22] 我觉得你是能做起来的
[2885.22-2885.98] 你做一个品牌
[2885.98-2886.42] 吧
[2886.42-2887.70] 想细化
[2887.70-2889.46] 你给我发email
[2889.46-2890.98] 或者私下联系
[2890.98-2891.86] 等你过来的时候
[2891.86-2892.58] 我来帮你
[2892.74-2894.06] 我们去洛杉矶弄去
[2895.58-2897.14] 然后就让我保密
[2897.14-2897.78] 说白了
[2897.94-2899.38] 什么叫黄金板料呢
[2900.34-2902.82] 现在这帮水贝的这帮孙子
[2902.82-2904.26] 我不是把他们孙子
[2904.26-2905.70] 他们真的是我徒子徒孙
[2905.94-2907.78] 发明的新名词
[2907.78-2909.42] 就叫黄金电子盘
[2909.42-2910.22] 不就得了吗
[2910.22-2911.70] 黄金板料
[2911.74-2912.70] 黄金资金盘
[2912.70-2913.26] 黄金板料
[2913.26-2913.86] 板料什么
[2913.94-2916.38] 就是中国人民银行收购
[2916.42-2917.78] 储备黄金
[2917.94-2920.78] 它有两个收购的重量标准
[2921.06-2922.66] 一个标准就从精炼厂
[2922.66-2924.66] 直接交到国库的国库金条
[2924.66-2925.86] 一个是一公斤装的
[2925.86-2927.14] 那个就比较少见
[2927.14-2929.06] 比较多见的主流的叫板料
[2929.06-2930.18] 就是三公斤的
[2930.26-2931.30] 三公斤的金条
[2931.34-2934.62] 它真的就做的跟古代护板一模一样
[2934.62-2936.02] 一公斤的金条
[2936.46-2937.86] 做的有点像
[2938.38-2942.06] 有点像诺基亚早期5110小手机
[2942.10-2942.90] 大小也像
[2942.90-2944.70] 形状薄厚都像
[2944.94-2945.38] 然后
[2945.38-2946.82] 一公斤的料
[2946.98-2950.54] 它会在上面注比较多的名文
[2950.54-2951.82] 比如说精炼厂的名字
[2952.30-2953.22] 比如说重量
[2953.38-2954.34] 比如说橙色
[2955.50-2957.26] 它都会用钢杂子
[2957.26-2957.74] 打的
[2957.74-2958.70] 攒上去那个字
[2958.70-2959.46] 因为金子很软
[2959.46-2961.06] 一攒那字都很深的
[2961.42-2962.46] 这一公斤的
[2963.02-2965.46] 但是就是三公斤的金料
[2966.14-2967.94] 你看起来就像牙膏皮
[2967.94-2969.74] 护板形的牙膏皮
[2969.74-2973.58] 就是一点工艺都没有
[2973.58-2975.06] 就是
[2975.06-2976.90] 还都带着毛边
[2976.90-2979.94] 带着坑坑洼洼的
[2979.94-2983.06] 从机器里滚出来的坑
[2983.06-2985.54] 就拿金属盏子
[2985.54-2985.90] 啪
[2985.90-2986.66] 攒一下
[2986.66-2988.82] 这就是三公斤板料
[2989.18-2991.30] 所以他们现在所谓的板料
[2991.30-2992.42] 其实就是电子盘
[2992.42-2993.42] 哪有真料
[2993.42-2995.38] 就是根据国际黄金价格
[2995.38-2997.02] 还做黄金电子盘
[2997.30-2997.70] 好了
[2997.70-2999.58] 当然也不伤天害理
[2999.58-3000.98] 这玩意就是赌场
[3001.10-3002.34] 就是金融市场
[3002.54-3004.38] 但是他老公为什么出事了
[3004.38-3004.50] 呢
[3004.50-3007.18] 因为他老公是东北人
[3007.22-3009.82] 在东北估计是有些水平
[3010.50-3011.10] 大家知道吗
[3011.46-3013.66] 北朝鲜一直是有大金矿的
[3013.66-3014.34] 北朝鲜金矿
[3014.34-3015.66] 整个东北亚最好的
[3015.86-3017.42] 北朝鲜的金矿
[3018.06-3019.78] 就有北朝鲜的领事馆
[3019.94-3021.58] 大使馆开着车
[3021.62-3022.98] 在后备箱里带出来
[3022.98-3024.02] 因为黄金很小
[3024.18-3025.22] 带出来几十公斤
[3025.22-3026.18] 什么都看不出来
[3026.30-3027.50] 然后带到沈阳
[3027.50-3029.38] 带到北京地下销售
[3029.38-3031.62] 我当年在北京做银和黄金的时候
[3031.62-3033.10] 我也买过他们的板料
[3033.62-3034.34] 因为北朝鲜的金矿
[3034.34-3035.50] 的金子特别好
[3037.70-3038.66] 而且还便宜
[3038.66-3039.66] 它是每克给我
[3039.66-3041.14] 当时我在北京收的时候
[3041.14-3043.26] 你想那时候100块人民币一克的时候
[3043.26-3045.30] 北朝鲜的金子进过来
[3045.30-3046.22] 它是每克给我
[3046.22-3047.22] 在国际金价技术上
[3047.22-3049.06] 下浮15元人民币的
[3049.22-3050.98] 那就等于送我钱
[3051.66-3052.34] 我操
[3052.38-3053.98] 你知道我们当时在中国
[3053.98-3054.90] 有多好挣钱
[3055.78-3057.30] 因为金子拿到我手里
[3057.34-3058.26] 拿到水倍去
[3058.26-3059.34] 拿到深圳
[3059.46-3060.82] 甚至不用拿到深圳
[3060.86-3062.42] 就在北京当地的金商里
[3062.42-3063.86] 就是国际金价减两块
[3063.86-3064.30] 直接走
[3064.34-3064.86] 了
[3065.34-3066.26] 北朝鲜给我
[3066.26-3067.54] 他减15
[3067.54-3068.14] 操
[3068.30-3070.66] 北朝鲜为什么不敢直接找这些金商
[3070.66-3070.86] 手
[3071.18-3072.42] 因为这玩意犯法
[3073.30-3074.82] 抓住那还大事吗
[3074.82-3075.94] 黄金走私
[3076.02-3078.58] 所以他老公居然干这个事
[3078.58-3080.02] 在北京被抓了
[3081.18-3083.86] 是他老公在这里边只是牵线搭桥
[3083.86-3086.98] 帮着这些真正的经销商
[3087.62-3088.90] 经销商不是他老公
[3088.90-3090.54] 是他老公是帮着经销商
[3090.58-3091.94] 打点银行的关系
[3091.98-3093.50] 他老公只收个手续费
[3093.50-3094.10] 大概一共
[3094.10-3097.02] 只收了20多万手续费
[3097.02-3098.70] 但是算从范给抓了
[3098.70-3101.18] 因为经他之手的流水
[3101.18-3102.46] 经他老公有20个亿
[3102.46-3104.54] 而整个案件的流水有200个亿
[3104.54-3106.46] 就是朝鲜大使馆这条线
[3106.46-3107.74] 沈阳大使馆这条线
[3107.74-3108.90] 被公安部给抓了
[3108.94-3110.14] 一共是200个亿
[3110.82-3112.26] 所以上200亿的
[3112.26-3114.22] 现在一定是部署督办大案
[3114.50-3116.30] 然后他就问我怎么办
[3116.30-3117.10] 他说
[3119.06-3120.70] 王哥你见多识广
[3121.58-3122.10] 接着念
[3122.22-3123.86] 就是成了部署
[3123.86-3124.46] 督办大案
[3124.46-3126.70] 我们打点了很多方面的关系
[3126.70-3129.34] 都说公安部直属的案很难左右
[3129.34-3132.10] 据说检察院要把我老公的老板
[3132.10-3132.74] 定为主犯
[3132.74-3133.90] 老公定为从犯
[3134.02-3136.78] 接下来开庭会面临很严重的罚款
[3136.78-3137.58] 和刑期
[3137.58-3138.46] 罚款的数额
[3138.46-3140.02] 远远超过我们的承受能力
[3140.02-3141.26] 王哥您见多识广
[3141.26-3142.30] 在你眼里这样的事情
[3142.30-3144.38] 该从哪个方面上去处理
[3145.26-3147.18] 希望你给我到一个参考意见
[3147.18-3149.70] 这将对我老公及我们小家庭
[3149.70-3151.18] 带来非常重大的意义
[3151.18-3152.58] 所以我一定会念你的信
[3152.58-3154.34] 我必须要帮助你
[3155.42-3156.94] 另外我自己的公司
[3156.94-3158.30] 不知道会不会卷入这个案件
[3158.30-3159.22] 我名下的财产
[3159.22-3161.50] 也会成为被执行的罚款吗
[3161.50-3163.62] 一个女人带着孩子无奈也无助
[3163.82-3165.94] 前期给各种中间人打点关系
[3165.94-3167.38] 已经花了大几十万了
[3167.50-3168.74] 案件依然没有进展
[3168.74-3170.10] 我不知道去何从
[3171.18-3171.70] 我跟你讲
[3172.38-3173.50] 你问我就问对了
[3173.78-3175.70] 中国的司法体制非常腐败
[3175.94-3179.02] 而且它有它内部的运作规律
[3179.18-3180.22] 一旦进入部署
[3180.22-3180.86] 督办大案
[3180.86-3182.54] 像你老公和你这种家庭背景
[3182.54-3184.10] 一点希望都没有
[3184.58-3186.06] 我只说实话
[3186.06-3187.18] 你问我就问对了
[3187.18-3189.02] 因为我不会骗你任何钱
[3189.38-3190.58] 所有告诉你
[3190.70-3191.74] 我有办法
[3191.98-3193.06] 我有路子
[3193.06-3195.18] 我给你在北京找找谁
[3195.18-3196.78] 全是骗子
[3197.34-3198.94] 没有一个不是骗子的
[3199.66-3201.58] 哪怕这个人是你的亲属
[3201.94-3204.26] 哪怕这个人是你的同学
[3204.42-3206.98] 哪怕这个人是你的男朋友
[3207.10-3207.82] 情夫
[3207.82-3208.74] 他都会骗你
[3209.58-3210.26] 为什么
[3210.46-3212.46] 有的时候骗子不是想骗你
[3212.46-3214.62] 而是骗子先骗了他自己
[3215.78-3217.42] 他在这里面为了他的欲望
[3217.42-3218.50] 为了他的冲动
[3218.50-3221.42] 他会主动相信上家骗子的话
[3221.42-3222.66] 我告诉你
[3222.66-3224.98] 你老公这个事情的定性非常严重
[3224.98-3226.06] 他就是走私黄金
[3226.06-3228.82] 他这个案子以前是要判死刑的
[3228.82-3230.22] 就是老板是要判死刑
[3230.22-3231.30] 他是无期
[3231.30-3233.50] 但现在经济类的案子没有死刑了
[3233.50-3234.90] 他老板可能是无期
[3234.90-3237.54] 你老公最佳的结果是10年
[3237.54-3238.74] 最佳的结果
[3238.74-3242.02] 甚至有可能是10年以上
[3242.46-3244.50] 你要做好心理准备
[3244.50-3247.74] 所以你现在所有的工作都不需要去做
[3247.74-3252.22] 只是按照法律程序请一个简简单单的律师就行了
[3252.22-3253.86] 随便请一个刑事律师就行了
[3253.86-3255.78] 不用请太贵的律师
[3255.78-3256.42] 没有用
[3256.42-3260.42] 你请一个50万的律师和你请一个500万的律师
[3260.42-3262.70] 对你老公的刑期没有区别
[3262.70-3264.38] 而且有可能有反区别
[3264.38-3266.78] 你花500万请了个大牌律师
[3266.78-3268.38] 罗翔律师坏了
[3268.38-3270.90] 公检法烦你
[3270.90-3271.78] 就忘记了
[3271.78-3273.30] 就往顶轴给你弄
[3273.30-3275.94] 把你老公真正弄个无期有可能
[3275.94-3280.54] 所以你就找一个特别好办的律师
[3280.54-3284.94] 跟法院的法官比较熟的律师就行了
[3284.94-3287.26] 然后在审理的过程中
[3287.26-3289.90] 该付的律师付费付了就得了
[3290.58-3293.62] 如果法官通过律师跟你要钱
[3293.62-3297.46] 法官通过律师要钱留好录音笔给他
[3297.46-3299.46] 但是这个钱不要超过50万
[3299.46-3300.46] 不要超过50万
[3300.46-3301.34] 超过50万的
[3301.78-3302.66] 不打水票
[3302.66-3305.14] 我看你已经花了大几十万了
[3305.14-3306.02] 不要再花了
[3306.02-3307.26] 这钱都白花了
[3307.26-3308.54] 你花到公安上
[3308.54-3309.94] 花到检察院上
[3309.94-3311.50] 一点屌用都没有
[3311.50-3312.54] 你要花
[3312.54-3314.70] 你应该花在狱警身上
[3314.70-3315.54] 听明白了吧
[3315.54-3316.90] 等你老公被判完了
[3316.90-3317.70] 进了监狱
[3317.70-3320.38] 你把所有的钱都花在狱警
[3320.62-3322.06] 狱长身上
[3322.06-3323.90] 你老公就能保外
[3323.90-3325.74] 你老公就能保外就医
[3325.74-3326.26] 知道吧
[3326.26-3327.34] 那就出来了
[3327.98-3329.94] 然后润出来不就得了吗
[3329.94-3331.74] 从缅甸走出来就得了
[3331.78-3333.74] 润到美国
[3333.74-3335.34] 就给你汇合了
[3335.34-3336.18] 你老公没身份
[3336.18-3337.22] 你有身份就行了
[3337.22-3339.46] 这是未来的趋势
[3339.74-3341.50] 这个案子本身没有任何希望
[3341.50-3342.82] 不要花钱
[3342.82-3345.02] 随随便便请一个普通律师
[3345.02-3345.94] 走完流程
[3345.94-3347.42] 然后把钱攒好
[3347.42-3350.02] 因为钱也不是说无底印钞机
[3350.14-3351.94] 所以你把钱用在刀刃上
[3351.94-3352.94] 用在监狱里
[3352.94-3356.14] 给你老公买一个好的监狱的服刑条件
[3356.14-3358.54] 让他别受罪
[3358.54-3360.78] 让他在监狱里
[3360.78-3361.62] 领了一辆车
[3361.62-3362.10] 领一个车
[3362.10-3362.22] 一个车
[3362.22-3362.26] 一个车
[3362.26-3362.58] 一个车
[3362.58-3363.02] 一个车
[3364.86-3366.58] 比如说食堂
[3367.02-3368.90] 比如说厨房
[3368.90-3369.38] 采买
[3369.94-3371.38] 这也是犯人干的
[3371.38-3373.14] 所以这是你应该干的
[3373.14-3380.90] 有钱就是爷
[3380.90-3382.06] 你一定
[3382.06-3382.94] 按监狱的生態环境
[3382.94-3384.74] 去运作你老公的未来
[3384.74-3386.86] 你老公未来的10到15年
[3386.86-3388.66] 就是在监狱度过的
[3388.66-3389.22] 所以
[3389.22-3390.46] 你不要把钱花在
[3390.46-3391.04] 工 Pare
[3391.04-3394.08] 我刚才建议你请一个小律师
[3394.08-3396.20] 就是不愿意让你再给法官钱了
[3396.20-3396.68] 没有用
[3396.68-3397.80] 你就说穷
[3397.80-3399.66] 家里破产了就得了
[3399.66-3401.82] 你露富露白了之后
[3401.82-3403.30] 使劲咔嚓你
[3403.30-3404.46] 你给了一个十万
[3404.46-3405.62] 就得给我一百万
[3405.62-3406.78] 给一百万给二百万
[3406.78-3407.50] 不给不给
[3407.50-3409.30] 给你老公判得更狠
[3409.30-3410.76] 所以就干脆从
[3410.76-3412.50] 就说破产了就得了
[3412.50-3413.62] 珠宝行业不好做
[3413.62-3414.66] 经济不景气
[3414.66-3415.38] 没钱了
[3415.38-3418.38] 然后你跟你老公的离婚
[3418.38-3419.06] 已经来不及了
[3419.06-3420.00] 因为他已经抓走了
[3420.00-3421.84] 所以你在你这边
[3421.84-3423.66] 尽可能的把你的共同财产
[3423.66-3425.38] 在法院还没有判决的时候
[3425.38-3427.20] 尽可能的全部都处置掉
[3427.20-3429.28] 处置不掉的就抵押
[3429.28-3430.24] 贷款
[3430.24-3430.94] 借债
[3430.94-3432.56] 就是变现
[3432.56-3435.48] 拿到现金存在你个人的名下
[3435.48-3436.48] 或者你个人的
[3436.48-3437.88] 没有人能查得到的
[3437.88-3439.70] 你的绝对信任的
[3439.70-3440.36] 你父母
[3440.36-3443.62] 或者你的其他的亲属名下
[3443.62-3444.64] 这样的话
[3444.64-3445.78] 你保住你的钱
[3445.78-3447.64] 你保住你自己这边钱
[3447.64-3449.06] 而且你又是做
[3449.06-3450.34] 这个珠宝行业的
[3450.34-3452.38] 那你藏钱还不容易
[3452.38-3454.10] 你一藏成版料不就得了吗
[3454.10-3455.22] 你在水贝
[3455.22-3455.90] 对不对
[3455.90-3457.30] 我说这话够明白了吗
[3457.30-3459.14] 你弄点现货不就得了吗
[3459.14-3460.40] 或者你在水贝
[3460.40-3462.20] 你在香港你开个户
[3462.20-3463.64] 你把钱弄出去不就得了吗
[3463.64-3466.16] 那深圳人还换不出做黄金
[3466.16-3467.72] 还换不出港币去吗
[3467.72-3468.68] 换不出美金去吗
[3468.68-3469.40] 你也没多少钱
[3469.40-3471.30] 所以你赶紧把钱弄出去
[3471.30-3472.82] 把你的房子赶紧抵押掉
[3472.82-3474.94] 能抵押多少抵押多少
[3474.94-3476.54] 然后将来判的时候
[3476.54-3478.50] 什么没收法院没收的时候
[3478.50-3479.06] 反正你就这这这
[3479.06-3479.84] 就这么多了
[3479.84-3481.40] 你你你看着拿吧
[3481.40-3482.06] 全是债务
[3482.06-3483.80] 给他们债务啊
[3483.80-3484.82] 所以这个事呢
[3484.82-3486.14] 就是只能是这样了
[3487.46-3490.76] 你老公人生当时做这个事的时候
[3490.76-3492.44] 就应该咨询我
[3492.44-3493.82] 现在已经东窗事发了
[3493.82-3494.48] 在咨询我
[3494.48-3496.28] 咨询已经晚了
[3496.28-3499.16] 这种事可不是你老公这种人能摊的
[3499.16-3502.18] 就是买北朝鲜金子
[3502.18-3504.32] 他一刻给你降15
[3504.32-3506.30] 其实那送你钱
[3506.30-3507.38] 就是你老公那个老板
[3508.38-3508.94] 那
[3508.94-3508.96] 那
[3508.96-3509.04] 那
[3509.04-3509.72] 没有背景
[3509.72-3511.00] 你敢干这个吗
[3511.00-3512.10] 你不是总参的
[3512.10-3517.08] 不是这个解放军你你普通的
[3517.08-3518.82] 你真是他妈的耗子
[3518.82-3520.34] 给猫当三赔
[3520.34-3521.94] 你这是赚钱不要命了
[3521.94-3524.16] 所以这个沾北朝鲜
[3524.16-3526.92] 这东西哎
[3526.92-3528.00] 我也我也不能说了
[3528.00-3530.26] 是世界已经发生了啊
[3530.26-3532.26] 所以这个呃
[3533.72-3535.02] 深圳的这位女士啊
[3535.02-3537.42] 你我希望能看到我这期节目
[3537.42-3538.14] 你过来吧
[3538.14-3538.94] 你赶紧出来吧
[3538.94-3540.06] 你不出来也不行了啊
[3540.06-3541.36] 你老公你就无所谓
[3541.36-3542.86] 你就把他放在国内
[3542.86-3544.50] 给他弄一个好的服刑条件
[3544.50-3545.86] 然后最后呃
[3545.86-3549.16] 服个大概三到五年就可以把它保出来了
[3549.16-3549.38] 呃
[3549.38-3551.26] 保出来之后海阔天空嘛
[3551.26-3552.94] 只要有了自由之后想办法呗
[3552.94-3555.04] 中国嗯
[3555.04-3555.78] 东南亚
[3555.78-3557.58] 嗯
[3557.58-3558.54] 我多说一句
[3558.54-3563.14] 你去泰国老挝缅甸买个护照很难吗
