[1.17-3.83] 哈喽 大家好 今天讲干货
[3.83-7.25] 企业家点评 第一人黄光玉
[7.25-9.75] 先来一首定场诗
[2590.87-2591.55] 所以
[2592.39-2592.99] 他就
[2593.71-2594.51] 转不下去了
[2594.51-2597.75] 所以所以他黄金就当
[2597.75-2598.75] 但我没说过啊
[2598.75-2601.15] 这是黄金是gaymower了啊
[2601.15-2602.35] 所以你你现在买黄金
[2602.35-2603.59] 只能买黄金保命了
[2603.59-2604.03] 你
[2604.03-2605.51] 将来买船票
[2605.51-2606.79] 可能用小黄鱼
[2606.79-2607.75] 嗯保命了
[2607.75-2609.55] 你再想弄什么黄金银行
[2609.55-2610.31] 黄金产业链
[2610.31-2611.75] 这不可能的不可能的
[2611.75-2614.19] 我现在话撂点啊
[2614.19-2616.55] 黄金很快就会收归国有
[2616.55-2617.03] 倒车吗
[2617.03-2618.55] 一定要到到原点吧
[2618.55-2620.63] 就是怎么当时放开的05年放开
[2620.63-2621.79] 老百姓随便买
[2621.79-2623.15] 还有怎么收回去
[2623.15-2626.23] 所以以黄金为背书的所有的金融创新
[2626.23-2627.55] gaymower停
[2627.55-2628.19] 错了
[2628.19-2628.75] 方向错了
[2628.75-2629.39] 往回走
[2630.59-2630.91] 啊
[2630.91-2633.59] 所以我今天就讲了黄光玉
[2634.03-2634.87] 点评了黄光玉
[2636.27-2637.03] 黄光玉
[2638.23-2639.83] 顺风顺水的时候
[2639.83-2642.87] 步步接队逆风逆水的时候步步接错
[2643.91-2647.47] 从07年他开始转运到他进去
[2648.75-2649.63] 大运就这么过去了
[2651.31-2654.27] 悲情伟大的企业家
[2654.27-2657.55] 潮州人的杰出的企业家代表黄光玉
[2657.55-2660.15] 今天就聊他聊他聊到这儿
[2660.15-2660.55] 再见
