[1.30-6.96] 哈喽,大家好,又见面了,长夜漫漫无心睡眠
[2392.58-2394.14] 就是我是金融圈里边
[2394.50-2395.30] 有几个日吹
[2395.46-2396.30] 一个是我
[2396.30-2398.22] 然后比我高的是什么王石
[2398.58-2399.62] 什么谢志坤
[2400.82-2401.74] 这都是比我高的
[2401.74-2402.82] 还有董文彪
[2404.42-2405.58] 这些人都是吹
[2405.58-2407.74] 因为他跟我们同文同种
[2407.74-2408.66] 确实是
[2409.30-2410.98] 这是加拿大和美国比不了的
[2410.98-2412.74] 我们的那种人种亲切感
[2413.42-2415.14] 你真的在白人社会的话
[2415.38-2416.34] 你看到一个日本人
[2416.34-2417.34] 你真的是挺亲的
[2417.34-2418.66] 他看到你也是这样
[2418.70-2423.22] 那至于说我是不是农村长大的
[2423.22-2424.70] 我就不做辩护了
[2424.70-2427.14] 因为我确实相对于上海来说
[2427.14-2428.86] 我确实是乡下人
[2428.86-2430.30] 因为在上海人眼里
[2430.30-2431.62] 全世界都是乡下人
[2431.62-2433.06] 全中国都是乡下人
[2433.06-2434.62] 所以我确实是乡下人
[2435.54-2438.58] 但是温哥华的上海人很多
[2438.90-2440.54] 都是土生土长的老上海
[2441.10-2443.42] 所以可能也有很多上海人
[2443.42-2444.74] 你像我一样在比较
[2444.74-2446.66] 最后选择了加拿大大农村
[2446.66-2448.66] 是否选择去农村生活
[2448.70-2451.14] 可能真的只是人各有志
[2451.14-2453.74] 而不是你是不是乡下人和城里人
[2453.74-2457.74] 因为这儿的上海人是仅次于香港人的
[2458.46-2460.34] 温哥华的香港人最多
[2460.34-2461.22] 其次上海
[2461.22-2462.10] 第三北京
[2462.10-2463.50] 就单一城市来说
[2463.50-2464.58] 是这三个城市
[2465.54-2465.78] 最多
[2465.78-2466.74] 当然我相信
[2467.26-2469.18] 东京除了香港人可能不是最多
[2469.18-2471.70] 但是北京和上海人在东京的密度
[2472.58-2474.34] 在京都的密度可能也不少
[2475.46-2477.78] 搞不好京都北京人会多一点
[2477.78-2478.62] 因为我要去日本
[2478.70-2480.74] 我会选择去京都生活
[2481.82-2483.86] 那种城市大厦高楼大厦综合体
[2483.86-2485.58] 对我来说真的没有什么诱惑力
[2485.58-2487.62] 我在那儿修育不好
[2489.22-2489.94] 太闹了
[2489.94-2492.66] 真的不是我装逼
[2492.78-2493.50] 真的是这样
[2494.42-2497.38] 你习惯农村的生活之后
[2497.94-2499.58] 你在人群中
[2499.94-2503.82] 跟大家共享电梯和共享楼道的这种生活
[2504.38-2505.46] 只能是旅游的时候
[2505.46-2507.06] 你能习惯
[2507.06-2508.66] 你会不自觉
[2508.70-2510.74] 你会想独门就独院的生活
[2512.30-2515.14] 我相信当你到了你人生下一个阶段
[2515.14-2516.18] 也要退休的时候
[2516.18-2518.78] 也许会有不同的选择
[2519.42-2520.22] 我们仅供交流
[2520.22-2522.30] 但是有的人就正好相反
[2522.30-2525.78] 你看我们这边香港很多老头老太太就回流了
[2525.98-2527.02] 就把这边房子卖了
[2527.02-2527.62] 回香港
[2527.98-2530.38] 又住回香港大楼去养老去了
[2531.14-2531.86] 人各有志
[2532.22-2533.14] 怎么样的都有
[2533.50-2535.14] 同样银发族在温哥华
[2535.14-2536.66] 香港的银发族在这儿
[2537.02-2538.66] 每天吃港式早茶
[2538.70-2540.82] 的也大有人在
[2540.86-2541.46] 死在这儿
[2541.46-2542.30] 葬在这儿
[2542.34-2545.50] 包括眼镜肥肥那些张国荣
[2545.62-2547.70] 他们都葬在这儿
[2549.02-2550.78] 你要说他们没有建过高楼大厦
[2550.78-2551.82] 恐怕也说不过去
[2551.82-2552.18] 对不对
[2552.18-2553.62] 他们都选择葬在这儿
[2554.06-2555.98] 人生永远落在这里了
[2557.82-2559.38] 银发族之多
[2559.74-2562.58] 以至于他们撑起了温哥华的餐饮市场
[2563.66-2564.58] 越式早茶
[2564.58-2565.70] 港式早茶
[2566.66-2568.10] 你看早晨起来去
[2568.10-2569.82] 一直到10点11点
[2569.98-2571.66] 全是老头老太太
[2571.66-2572.94] 全是银发
[2573.22-2574.78] 所以我来了温哥华以后
[2574.78-2575.94] 我就觉得我来对地方了
[2575.94-2576.42] 因为什么
[2576.42-2577.86] 因为老头老太太抵抗力弱
[2577.86-2579.82] 他们可是天天去吃早茶的
[2579.82-2582.90] 如果这个店里边早茶里边掺了人工化学剂
[2583.06-2585.26] 你想老头老太太们活不到这么大岁数
[2585.26-2586.70] 这都是80多90的人
[2586.70-2589.90] 大把大把的一桌一桌的在那吃
[2590.66-2592.94] 这温哥华奇观银发族
[2592.98-2594.58] 撑起港式早茶
[2594.58-2596.02] 越式早茶的市场
[2596.06-2598.06] 所以港式早茶的水平非常高
[2598.10-2603.10] 来温哥华一定要尝尝正宗的港式早茶
[2603.10-2603.70] 太多了
[2603.70-2604.94] 这边满街都是
[2605.38-2606.22] 小香港
[2606.70-2607.02] 好了
[2607.02-2608.22] 今天就跟大家聊这么多
[2608.42-2609.34] 一不小心聊多了
[2609.34-2609.74] 再见
[2610.50-2611.26] 一刀不剪了
[2611.26-2611.94] 直接上传了
[2611.94-2612.38] 拜拜
