[0.37-1.39] 哈喽大家好
[2190.98-2191.82] 我怎么不知道
[2191.82-2194.06] 他说我只是觉得你说的好玩
[2194.06-2195.62] 我们还不会说中文
[2195.90-2197.18] 你要有字幕就好了
[2197.18-2197.78] 我说
[2197.90-2199.42] 中文字幕我都搞不定
[2199.94-2201.54] 英文字幕我还费劲
[2202.06-2203.58] 发音差不多就行了
[2205.18-2206.38] 精彩又精准
[2206.38-2207.70] 嘎巴利罗翠粉了粉了
[2207.70-2208.54] 谢谢
[2208.54-2209.38] 开篇就是经验
[2209.38-2210.18] 怪不得翟山英说
[2210.18-2210.90] 你智商比他高
[2210.90-2212.10] 至少5倍学习
[2212.42-2213.90] 5倍不是5分
[2214.26-2215.70] 他125 125
[2215.70-2216.54] 希望如此
[2217.10-2219.14] 他给我的评价还是挺高的
[2219.38-2221.22] 他除了造我的一个小窑
[2221.22-2222.14] 他别的
[2222.14-2224.22] 这是我的摩擦的至少一年
[2224.22-2225.66] 他胡说八道
[2226.74-2227.94] 我多爱他
[2227.94-2229.10] 我对他是真爱
[2229.78-2231.10] 我砸挂他
[2231.10-2232.90] 就像郭德纲砸李京一样
[2232.90-2234.02] 砸于谦一样
[2235.42-2236.86] 于天的霸王老爷子一样
[2236.86-2237.86] 我砸山英
[2237.86-2239.34] 我是真没动手
[2239.82-2240.34] 我的
[2241.70-2242.82] 可不是化骨绵长
[2242.82-2244.18] 我就轻轻的摸摸他
[2244.34-2245.70] 他自己心里清楚
[2245.70-2248.86] 我要是来真的半步
[2249.54-2252.30] 什么含笑半步天给他放上
[2252.58-2253.66] 翟老师就
[2254.50-2255.50] YouTube肯定关了
[2255.50-2256.26] 他肯定关了
[2256.26-2258.42] 他得下一战天后了
[2258.42-2258.82] 他就
[2259.14-2260.18] 他得买机票去了
[2260.18-2262.78] 所以我真的是
[2263.22-2265.42] 其实我对他评价也是比较客观的
[2265.42-2268.74] 他的口才
[2268.74-2269.54] 教授里边
[2269.54-2270.38] 靖学教授里边
[2270.38-2271.18] 第一流的
[2272.85-2274.73] 老王比老翟看着年轻多了
[2274.73-2276.85] 就是他磨皮都磨来磨去
[2276.85-2277.65] 头发都白了
[2277.65-2279.13] 也他也磨不过我
[2279.13-2279.77] 我不磨
[2281.21-2283.29] 只有一句话表达我的敬仰之心
[2283.29-2285.21] 王主席牛子真大
[2286.45-2287.45] 太了解我
[2287.77-2288.77] 你怎么知道
[2289.25-2289.77] 是秘密
[2291.21-2292.01] 你有罪
[2292.01-2293.17] 泄露国家机密
[2294.49-2297.01] 老王水准还是可以的
[2297.01-2298.33] 没有太多的专业术语
[2298.33-2300.13] 属于大白话
[2300.97-2301.29] 对
[2301.29-2301.81] 是
[2302.81-2304.13] 我说专业术语
[2304.17-2306.25] 你们会被专业术语带到沟里去的
[2306.89-2307.73] 不是我不懂
[2307.73-2309.25] 我专业术语要说下来
[2309.25-2310.93] 咱也别干这事
[2310.93-2312.25] 那就开始装逼了
[2312.25-2316.21] 昨天我那视频杂挂金岩石来着
[2316.21-2318.73] 金岩石跟我挺熟的
[2319.09-2319.65] 对不起
[2319.65-2320.05] 金老师
[2320.05-2321.33] 我说你长得像猪
[2321.33-2321.89] 嗯
[2322.01-2322.89] 我收回
[2322.89-2324.49] 我向你公开道歉
[2324.49-2326.57] 你就是比较胖
[2326.57-2328.49] 偶像包袱比较重
[2328.49-2331.29] 你不承认自己说一万点是护士
[2331.29-2332.73] 令我觉得挺有意思
[2332.73-2334.41] 所以我砸了你那一小段
[2335.25-2338.77] 还有我昨天差点砸血蛮子
[2338.77-2339.17] 你知道吧
[2339.17-2340.69] 因为蛮子已经出来了
[2340.69-2341.77] 蛮子是我前辈
[2341.77-2342.93] 那不能说
[2343.25-2345.29] 还有一个特别刚出来的
[2345.29-2346.65] 特别有特别有名的
[2346.65-2347.05] 哎呦
[2347.05-2348.17] 那个才高八斗的
[2348.17-2349.25] 还妙笔生花
[2349.25-2349.85] 那本来文采我比他高那么一点点
[2349.85-2350.13] 那本来文采我比他高那么一点点
[2350.13-2350.49] 那本来文采我比他高那么一点点
[2350.49-2350.89] 那本来文采我比他高那么一点点
[2350.89-2352.61] 那本来文采我比他高那么一点点
[2353.21-2354.33] 但是因为我做了生意
[2354.33-2355.29] 做了金融
[2355.61-2357.57] 所以他的文采比我高了
[2357.57-2359.05] 那么一点点
[2359.05-2359.93] 给我私信
[2359.93-2360.77] 哎呀
[2360.77-2361.45] 喜欢你
[2362.17-2363.53] 你偶像包袱也太重
[2363.53-2365.13] 你就给我公信不就得了吗
[2365.13-2366.57] 你说我喜欢你
[2366.57-2367.17] 哎呀
[2367.17-2369.49] 你看你就怕被我给你引流
[2369.49-2371.61] 我还能引流了你
[2371.61-2372.37] 你这么牛逼
[2372.37-2372.69] 哎呀
[2372.69-2374.49] 你个大才子
[2374.89-2375.25] 哎呀
[2375.25-2376.21] 还私信
[2376.21-2376.93] 哎呀
[2376.93-2377.81] 哎呦
[2378.21-2379.73] 偶像包袱太重了
[2379.73-2380.85] 哥们们都放下吧
[2380.85-2380.89] 哥们们都放下吧
[2380.89-2381.93] 咱们都出来了
[2382.29-2384.05] 咱们就不能真实点吗
[2384.57-2385.37] 对不对
[2387.38-2388.26] 恭喜老王
[2388.26-2389.34] 二发圆满
[2389.38-2390.62] 啥时候讲柴副主席
[2390.62-2391.94] 绝对流量爆表
[2393.38-2395.06] 我刚刚说是几十万份
[2395.22-2397.14] 讲他十万份还是二十万份
[2397.14-2398.14] 我会讲他的
[2398.14-2399.78] 但是我会还是会
[2401.22-2402.02] 蹭一蹭
[2402.02-2404.38] 围着边不进去
[2405.34-2405.98] 哎呀
[2406.46-2407.26] 一个小时了
[2407.26-2408.26] 四十分钟了
[2408.58-2409.10] 不说了
[2409.42-2412.38] 今天给大家扯淡
[2412.38-2413.90] 主要是练练直播
[2413.90-2415.38] 可能直播也是这样吧
[2415.38-2416.66] 我也不知道别人直播怎么样
[2416.66-2418.78] 还弄一个跳
[2418.78-2419.86] 然后自己在那看着
[2419.86-2420.70] 哎呀
[2420.70-2421.50] 是不是这样
[2421.70-2422.90] 今天咱们试一试
[2423.46-2424.42] 太干了
[2424.42-2425.86] 中国虽然开倒车回去了
[2425.86-2427.30] 但过去这激荡三十年
[2427.30-2429.58] 在五千年历史上够震撼的
[2429.82-2431.10] 老王做事认真实在
[2431.10-2432.06] 这点没得说
[2432.06-2434.58] 身边的华人好多北京出来都特别优秀
[2434.58-2434.90] 为什么
[2434.90-2435.50] 为什么
[2435.66-2436.10] 谢谢
[2436.10-2436.58] 谢谢
[2438.50-2439.70] 中国人不要自卑
[2439.70-2441.42] 中国人是很优秀的民族
[2441.42-2442.22] 很优秀
[2442.22-2442.74] 真的很优秀
[2442.74-2443.70] 因为老王见的就是优秀的民族
[2443.70-2445.06] 现在人种多了去了
[2445.06-2447.78] 中国人真的是应该自豪的民族
[2447.78-2448.58] 我们中国人
[2448.58-2451.42] 当然大家现在想分裂
[2451.42-2452.42] 不是
[2452.42-2454.54] Metro或者Greater China
[2454.54-2456.34] 就是大中华范围区
[2456.50-2457.86] 华语范围区
[2457.86-2458.90] 人才济济
[2458.90-2460.30] 这等于是有灵气的
[2460.30-2462.90] 上帝绝对是很垂青这块的人的
[2463.30-2464.42] 什么三幼
[2464.42-2465.10] 什么
[2465.10-2466.66] 大家开开玩笑就得了
[2466.66-2470.06] 因为真的是体制的问题
[2470.06-2471.66] 是文化的问题
[2471.66-2473.66] 只要他在一个好的文化范围之内
[2473.66-2474.94] 他孩子都特别好
[2474.94-2476.22] 你看被美国人
[2476.22-2476.82] 加拿大人
[2476.82-2478.02] 白人夫妻收养的
[2478.02-2480.10] 中国孤儿
[2480.70-2482.18] 你看看一个一个多好
[2482.38-2483.14] 精神面貌
[2483.14-2483.86] 那个状态
[2483.86-2485.10] 长的样子
[2486.22-2488.98] 灵气不雅于任何一个人种
[2488.98-2489.66] 不要自卑
[2490.34-2491.18] 要自卑
[2491.18-2493.02] 卑于我们这个系统
[2493.02-2494.38] 不光是共产党这个系统
[2494.38-2495.34] 之前也是
[2495.34-2497.10] 5000年一直没有出来
[2497.22-2498.22] 一个君君臣臣
[2498.22-2498.94] 父父子子
[2498.94-2500.14] 这么一个封建的
[2500.14-2500.78] 这样一个
[2500.78-2501.58] 不是你给我跪着
[2501.58-2502.34] 就是我给你跪着
[2502.34-2503.18] 大家都以为我像猫
[2503.18-2504.06] 我得装逼
[2504.06-2504.90] 骑到你身上
[2504.90-2505.82] 我他妈好好干活
[2505.82-2507.38] 就是为了撒个你
[2507.38-2508.30] 发个不动
[2508.30-2508.90] 我捐起来
[2508.90-2509.74] 你不发给我吧
[2509.74-2511.66] 这个很不好
[2511.66-2512.66] 这个真的很不好
[2512.66-2514.50] 中国人一直没有学会怎么爱
[2515.22-2515.90] 爱这个组
[2515.90-2516.62] 不会
[2517.30-2518.94] 中国人的爱都是设有条件
[2518.94-2520.18] 英语叫condition
[2520.42-2521.86] 就有好多的条件
[2522.82-2523.46] 不是爱
[2523.46-2523.94] 那不是爱
[2523.94-2524.86] 那是交易
[2525.62-2527.42] 什么时候中国人学会了爱
[2527.74-2528.58] 有了信仰
[2528.58-2530.06] 这个信仰不一定是上帝
[2530.06-2531.22] 任何信仰都可以
[2531.22-2532.22] 只要是一个单纯的
[2532.22-2533.14] 你爱为基底
[2533.18-2533.94] 的信仰
[2533.94-2536.18] 中国就会一飞成天
[2536.18-2538.82] 但是现在显然我还看不见
[2538.82-2539.58] 看不见
[2539.58-2540.58] 300年
[2541.06-2541.74] 好吧
[2543.34-2544.86] 另外三个常委是谁
[2545.34-2546.54] 谁这威廉吗
[2546.54-2547.90] 这谁威廉这么坏
[2547.90-2548.50] 我不说
[2548.50-2549.46] 我不知道
[2550.46-2551.62] 你怎么还不让我活呢
[2551.62-2552.06] 你
[2553.83-2555.11] 美国是一个依靠实力
[2555.11-2556.39] 硬杠的公共社会
[2556.39-2557.71] 移民职业工作室
[2557.71-2558.51] 在我这做广告的
[2558.51-2558.91] 可以
[2558.91-2559.55] 不杀你
[2560.15-2563.55] 狗以老王这一亩三分地做广告
[2563.55-2564.71] 老王无限的
[2564.75-2568.15] 不光老王特别尊重这些伟大的企业家
[2568.15-2569.31] 白兽企业企业家
[2569.31-2570.07] 梅先生
[2570.07-2571.87] 就是什么
[2571.87-2572.35] 梅先生
[2572.35-2573.95] 就是没有想梅兰芳姐的
[2573.95-2575.31] 那个容先生
[2575.87-2577.11] 容德成先生
[2577.55-2580.03] 就是容易人他们家的长辈
[2580.55-2584.35] 容先生在老家有一个园子
[2584.35-2585.79] 很大公园
[2585.79-2588.43] 有钱自己修了一个私家宅邸园子
[2588.47-2589.47] 对老百姓开放
[2589.47-2590.67] 不用买票进去
[2591.31-2591.91] 扬州吧
[2591.91-2592.83] 他是那边的人
[2594.03-2594.43] 苏州
[2594.43-2596.67] 扬州反正就是江南的灵秀之地
[2596.99-2599.07] 老百姓在里边就开始人流很多
[2599.31-2600.03] 开始摆摊
[2600.03-2601.27] 卖鞋
[2601.27-2602.51] 筋头线脑
[2602.79-2605.03] 卖鞋底下挺乱的
[2605.03-2607.11] 因为老百姓的素质还是低点的
[2607.11-2608.43] 弄得挺脏的
[2608.99-2610.83] 说咱们能不能把他们撵走
[2611.15-2611.95] 老爷
[2611.99-2612.95] 容老爷说
[2613.27-2613.99] 为什么
[2614.11-2616.19] 说他们把咱们园子弄挺脏的
[2616.59-2617.59] 老爷说这么句话
[2617.59-2621.67] 说狗以我的园子能作为他们的谋生之地
[2621.67-2623.31] 我是何德何能的善事
[2623.31-2624.27] 我怎么能把他们撵走
[2624.43-2626.31] 有良心
[2626.31-2628.07] 所以在我这儿
[2628.07-2629.71] 随便我也想开了
[2629.71-2632.91] 随便做广告
[2632.91-2635.19] 随便除了黄推
[2635.43-2636.83] 你别弄什么幼齿
[2636.95-2637.59] 什么瘦胶
[2639.19-2640.19] 我必须不log你
[2640.19-2642.63] 别的地方看了顺手就不log了
[2642.63-2644.71] 只要是做商业网
[2644.71-2645.91] 都可以欢迎
[2645.91-2647.63] 做自己卧广告的
[2647.63-2648.87] 也可以欢迎私信
[2648.87-2649.31] 我OK
[2649.31-2650.03] 所有欢迎
[2650.03-2651.11] 为什么不能发我私信
[2651.11-2652.43] 当然可以发我私信
[2652.43-2653.31] 好
[2653.31-2653.71] 好
[2653.71-2654.31] 好
[2654.43-2655.95] 还有什么欢迎
[2655.95-2656.91] 盗版也欢迎
[2656.91-2657.59] 随便盗
[2657.59-2658.35] 随便了
[2658.35-2659.71] 剪切编辑
[2659.71-2660.71] 挣钱
[2660.71-2662.23] 弄老王视频
[2662.23-2663.47] 让你们挣着钱了
[2663.47-2664.35] 好
[2664.35-2665.15] 好
[2665.15-2665.95] 再见
